student_id,weak_kcs,n_weak,weakest_5,related_kcs
user10383,2-sat;Difference Array;Graph Representation;Greedy Sorting;String Matching;Tree DFS;data structures;divide and conquer;dsu;games;geometry;graph matchings;graphs;hashing;trees,15,trees;String Matching;Graph Representation;divide and conquer;dsu,DFS;Hash Map;Queue;Stack;Strongly Connected Components;combinatorics;dp;math;sortings;strings
user10384,geometry;interactive,2,interactive;geometry;2D DP;Strongly Connected Components;Z Algorithm,Simulation
user10403,2D DP;Binary Search on Array;Bitmask Enumeration;Expected Value;Hash Map;Ordered Set;Stack;Strongly Connected Components;Two Pointers on Sorted Array;binary search;bitmasks;brute force;data structures;divide and conquer;dp;dsu;flows;graphs;greedy;probabilities;shortest paths;sortings;ternary search;two pointers,24,probabilities;Ordered Set;two pointers;Hash Map;binary search,1D DP;BFS;Binary Search on Answer;Queue;Recursion;combinatorics;implementation;math
user10411,Binary Lifting;Bipartite Graph Check;Cycle Detection;DFS;Fenwick Tree;Hash Map;Prefix Function;Suffix Array;geometry;graphs;hashing;string suffix structures,12,Prefix Function;DFS;Binary Lifting;Suffix Array;Cycle Detection,BFS;Graph Representation;Sparse Table;String Matching;Tree DFS;binary search;data structures;sortings;strings
user10421,Binary Search on Array;Brute Force Enumeration,2,Brute Force Enumeration;Binary Search on Array;geometry;binary search;graphs,data structures;sortings
user10423,,0,math;bitmasks;greedy;data structures;hashing,
user10426,2D DP;Bitmask DP;flows;geometry;graph matchings,5,geometry;graph matchings;flows;Bitmask DP;2D DP,1D DP;bitmasks;graphs;shortest paths
user10428,Activity Selection;Cycle Detection;GCD;Tree DFS;Two Pointers on Sorted Array;geometry;graphs;ternary search;trees,9,Activity Selection;Two Pointers on Sorted Array;geometry;GCD;ternary search,BFS;Binary Search on Answer;DFS;data structures;sortings
user10442,,0,2D DP;Strongly Connected Components;Topological Sort;1D DP;Binary Search on Array,
user10464,Backtracking;Graph Representation;Max Flow;flows,4,Max Flow;flows;Graph Representation;Backtracking;Orientation Test,Priority Queue;Recursion;graphs;shortest paths
user10468,1D DP;DFS;Dijkstra;Hash Map;Prefix Sum;bitmasks;data structures;interactive;two pointers,9,two pointers;Dijkstra;Hash Map;DFS;Prefix Sum,Graph Representation;Priority Queue;Recursion;Simulation;Stack;brute force;math
user10484,2D DP;Difference Array;Fast Exponentiation;Inclusion-Exclusion;Knapsack;LCM;Max Flow;Monotonic Stack;Permutations;Prime Sieve;Priority Queue;Stack;flows;geometry;graph matchings;matrices,16,Difference Array;Prime Sieve;graph matchings;Monotonic Stack;Stack,1D DP;Combinations;GCD;Modular Arithmetic;Queue;graphs;math;shortest paths
user10493,Binary Search on Answer;Convex Hull;Max Flow;geometry;graph matchings;hashing,6,Convex Hull;graph matchings;geometry;Max Flow;Binary Search on Answer,Binary Search on Array;Distance Between Points;Hash Map;Orientation Test;Priority Queue;graphs;sortings;strings
user10504,1D DP;2D DP;Distance Between Points;Line Intersection;Max Flow;String Matching;flows;geometry;graph matchings;hashing;string suffix structures;strings,12,string suffix structures;hashing;String Matching;graph matchings;Max Flow,Hash Map;Orientation Test;Priority Queue;Recursion;binary search;data structures;graphs;math;shortest paths;sortings
user1051,Binary Search on Answer;Coordinate Compression;Fenwick Tree;Max Flow;Mo's Algorithm;Multiset;Ordered Set;Sqrt Decomposition;Suffix Array;Tree DFS;dsu;flows;games;geometry,14,geometry;Fenwick Tree;Coordinate Compression;Binary Search on Answer;Ordered Set,Binary Search on Array;DFS;Hash Map;Priority Queue;Queue;Segment Tree;Sliding Window;Stack;String Matching;combinatorics;data structures;graphs;math;shortest paths;sortings
user10512,2D DP;Combinations;Difference Array;Expected Value;Inclusion-Exclusion;Permutations;Prefix Sum;Prime Sieve;Stack;State Simulation;chinese remainder theorem;dsu;games;matrices;probabilities;strings;ternary search,17,Prime Sieve;games;Combinations;Permutations;Inclusion-Exclusion,1D DP;Binary Search on Answer;Modular Arithmetic;Modular Inverse;Queue;Recursion;combinatorics;data structures;math
user10526,Combinations;Modular Combinations;Tree DFS;Tree DP;geometry;graph matchings;hashing;shortest paths;string suffix structures;trees,10,string suffix structures;Modular Combinations;Tree DP;shortest paths;hashing,DFS;Hash Map;Modular Arithmetic;Modular Inverse;binary search;data structures;dp;graphs;math;sortings;strings
user10534,divide and conquer,1,divide and conquer;Polygon Area;Interval DP;shortest paths;hashing,dp;graphs
user10539,1D DP;Bitmask DP;Bitmask Enumeration;Min Cut;Prefix Function;Segment Tree;data structures;dp;fft;geometry;graph matchings;interactive;shortest paths;ternary search;two pointers,15,Min Cut;fft;Prefix Function;Bitmask Enumeration;shortest paths,Binary Search on Answer;Max Flow;Recursion;Simulation;String Matching;bitmasks;brute force;graphs;math
user10560,2D DP;String Hashing;bitmasks;hashing,4,String Hashing;2D DP;bitmasks;hashing;Bitmask Enumeration,1D DP;Hash Map;brute force;math;strings
user10563,Digit DP;Max Flow;Orientation Test;divide and conquer;dsu;flows;geometry;graph matchings;interactive,9,Orientation Test;geometry;graph matchings;Max Flow;dsu,1D DP;Distance Between Points;Priority Queue;Queue;Simulation;Stack;dp;graphs;shortest paths
user10569,Prime Factorization;Tree DP;flows;geometry;graph matchings,5,graph matchings;Tree DP;flows;Prime Factorization;geometry,Prime Sieve;Tree DFS;dp;graphs;shortest paths
user10571,1D DP;Conditional Probability;Expected Value;String Matching;geometry;hashing;probabilities;string suffix structures,8,Conditional Probability;Expected Value;geometry;probabilities;string suffix structures,Hash Map;Recursion;binary search;combinatorics;data structures;sortings;strings
user10578,Graph Representation;graph matchings;graphs;hashing;string suffix structures;trees,6,trees;Graph Representation;hashing;graphs;graph matchings,Hash Map;binary search;data structures;sortings;strings
user10589,Binary Search on Answer;Dijkstra;Permutations;Tree DP;bitmasks;shortest paths,6,bitmasks;Tree DP;Permutations;Binary Search on Answer;shortest paths,Binary Search on Array;Graph Representation;Priority Queue;Tree DFS;brute force;dp;graphs;math
user10604,Brute Force Enumeration;Fast Exponentiation;Graph Representation;Ordered Set;data structures;geometry;graphs;hashing;string suffix structures;trees,10,Ordered Set;Fast Exponentiation;geometry;trees;Graph Representation,Hash Map;binary search;math;sortings;strings
user10608,2D DP;Activity Selection;BFS;Bitmask Enumeration;Coordinate Compression;Digit DP;Distance Between Points;Greedy Sorting;Longest Increasing Subsequence;Monotonic Stack;Stack;Tree DFS;binary search;bitmasks;data structures;dp;geometry;graphs;shortest paths;trees;two pointers,21,trees;Digit DP;Monotonic Stack;geometry;Distance Between Points,1D DP;DFS;Graph Representation;Recursion;brute force;math;sortings
user10624,Binary Lifting;Max Flow;Meet-in-the-middle;Mo's Algorithm;Monotonic Stack;Palindrome Detection;Sparse Table;Stack;String Matching;Suffix Automaton;Tree DP;binary search;data structures;divide and conquer;dsu;flows;games;hashing;string suffix structures;strings;trees;two pointers,22,Max Flow;games;Sparse Table;flows;string suffix structures,Hash Map;Priority Queue;Queue;Sliding Window;Sqrt Decomposition;Tree DFS;Z Algorithm;brute force;combinatorics;dp;graphs;math;shortest paths;sortings
user10631,1D DP;2-sat;BFS;Binary Lifting;Dijkstra;Max Flow;Sparse Table;String Matching;Strongly Connected Components;Trie;geometry;graph matchings;hashing;strings,14,Trie;hashing;Sparse Table;Dijkstra;Binary Lifting,Graph Representation;Hash Map;Priority Queue;Recursion;Tree DFS;data structures;graphs
user10632,,0,geometry;graphs;trees;flows;constructive algorithms,
user10639,Segment Tree;Tree DFS;data structures,3,Tree DFS;data structures;Segment Tree;Max Flow;flows,DFS;Recursion
user10641,2D DP;Interval DP;Max Flow;flows;geometry;graph matchings;hashing;shortest paths;string suffix structures,9,geometry;Interval DP;hashing;string suffix structures;graph matchings,1D DP;Hash Map;Priority Queue;binary search;graphs;sortings;strings
user10653,1D DP;Backtracking;Bitmask Enumeration;Combinations;Longest Increasing Subsequence;String Matching;Suffix Automaton;combinatorics;graphs;hashing;string suffix structures;strings,12,string suffix structures;Suffix Automaton;Combinations;hashing;String Matching,Hash Map;Recursion;Z Algorithm;binary search;data structures;math;sortings
user1066,geometry,1,geometry;Distance Between Points;Knapsack;shortest paths;Dijkstra,
user10660,2-sat;BFS;Custom Comparator Sorting;Divisors;Prefix Sum;Recursion;Stack;Strongly Connected Components;Tree DFS;Tree DP;graph matchings;graphs;matrices;number theory;trees,15,BFS;2-sat;Recursion;graph matchings;Tree DP,1D DP;DFS;GCD;Graph Representation;Modular Arithmetic;Prime Factorization;data structures;dp;math;sortings
user1067,Binary Lifting;Bipartite Graph Check;Bitmask DP;Graph Representation;Greedy Sorting;Meet-in-the-middle;Simulation;binary search;bitmasks;brute force;constructive algorithms;data structures;dp;games;graph matchings;graphs;greedy;hashing;math;number theory;string suffix structures;strings;trees,23,bitmasks;number theory;brute force;strings;Meet-in-the-middle,1D DP;BFS;DFS;Hash Map;Recursion;Sparse Table;Tree DFS;combinatorics;implementation;sortings
user10682,Binary Search on Answer;divide and conquer;geometry;probabilities,4,geometry;divide and conquer;probabilities;Binary Search on Answer;Distance Between Points,Binary Search on Array;combinatorics;dp;graphs
user10684,2-sat;2D DP;Fast Exponentiation;Knapsack;Meet-in-the-middle;Mo's Algorithm;Prime Sieve;Segment Tree;Tree DP;geometry;graph matchings;shortest paths;string suffix structures;ternary search;trees,15,shortest paths;graph matchings;2-sat;geometry;Meet-in-the-middle,1D DP;Binary Search on Answer;Recursion;Sliding Window;Sqrt Decomposition;Strongly Connected Components;Tree DFS;binary search;brute force;data structures;dp;graphs;math;sortings;strings
user10687,Digit DP;Longest Common Subsequence;Modular Combinations;Sliding Window;combinatorics;geometry;string suffix structures,7,Digit DP;geometry;Longest Common Subsequence;string suffix structures;Modular Combinations,1D DP;Combinations;Modular Arithmetic;Modular Inverse;binary search;math;sortings;strings
user10688,2D DP;Binary Search on Array;Bipartite Graph Check;Cycle Detection;Inclusion-Exclusion;Max Flow;flows;geometry;graph matchings;graphs,10,Bipartite Graph Check;Max Flow;graph matchings;Binary Search on Array;Cycle Detection,1D DP;BFS;Combinations;DFS;Permutations;Priority Queue;shortest paths;sortings
user10693,BFS;DFS;Distance Between Points;Expected Value;GCD;Prime Sieve;Segment Tree;Simulation;State Simulation;Strongly Connected Components;brute force;constructive algorithms;data structures;dsu;geometry;graphs;number theory;shortest paths;trees;two pointers,20,geometry;State Simulation;Distance Between Points;Prime Sieve;brute force,Graph Representation;Queue;Recursion;Stack;combinatorics;implementation;math
user10694,2D DP;Hash Map;String Matching;flows;geometry;hashing,6,geometry;hashing;2D DP;String Matching;Hash Map,1D DP;data structures;graphs;shortest paths;strings
user10696,,0,Segment Tree;divide and conquer;geometry;2D DP;Hash Map,
user10697,dsu;trees,2,trees;dsu;flows;number theory;two pointers,Queue;Stack;data structures;graphs
user1070,BFS;Binary Lifting;Coordinate Compression;Stack;Suffix Automaton;Tree DFS;expression parsing;geometry;string suffix structures;trees,10,geometry;BFS;Suffix Automaton;Stack;Tree DFS,DFS;Graph Representation;Sparse Table;String Matching;Z Algorithm;binary search;data structures;graphs;sortings;strings
user10702,binary search;constructive algorithms;data structures;divide and conquer;hashing;string suffix structures;strings;two pointers,8,string suffix structures;strings;hashing;binary search;data structures,Hash Map;dp;graphs;implementation;sortings
user10706,Binary Lifting;DFS;Graph Representation;Greedy Sorting;Line Intersection;geometry;hashing;number theory;sortings,9,Line Intersection;hashing;geometry;number theory;Binary Lifting,Distance Between Points;Hash Map;Orientation Test;Sparse Table;Tree DFS;math;strings
user1075,Hash Map;Max Flow;Ordered Set;Orientation Test;Prime Factorization;Tree DP;fft;geometry;hashing;ternary search,10,fft;Orientation Test;geometry;ternary search;Ordered Set,Binary Search on Answer;Distance Between Points;Prime Sieve;Priority Queue;Tree DFS;data structures;dp;graphs;strings
user10753,2D DP;Binary Search on Answer;Binary Search on Array;Bitmask Enumeration;Brute Force Enumeration;Coordinate Compression;Difference Array;Edit Distance;Fenwick Tree;Hash Map;Ordered Set;Polygon Area;Priority Queue;Stack;dsu;geometry;graphs;hashing;strings;ternary search,20,Fenwick Tree;geometry;hashing;Ordered Set;Polygon Area,1D DP;Distance Between Points;Longest Common Subsequence;Queue;data structures;math;sortings
user10767,bitmasks;sortings;two pointers,3,bitmasks;sortings;two pointers;geometry;Distance Between Points,brute force;data structures;math
user1077,Binary Search on Answer;Floyd-Warshall;Hash Map;Orientation Test;binary search;geometry;graph matchings;probabilities;shortest paths;ternary search,10,graph matchings;Hash Map;Floyd-Warshall;geometry;Binary Search on Answer,Binary Search on Array;Distance Between Points;combinatorics;data structures;dp;graphs;sortings
user1080,2D DP;Binary Search on Array;Coordinate Compression;Expected Value;Priority Queue;Tree DFS;expression parsing;hashing;interactive;probabilities;string suffix structures,11,string suffix structures;probabilities;Expected Value;hashing;Priority Queue,1D DP;DFS;Hash Map;Queue;Simulation;Stack;String Matching;binary search;combinatorics;sortings;strings
user10805,2D DP;Binary Search on Array;Bipartite Graph Check;Inclusion-Exclusion;Max Flow;Polygon Area;binary search;geometry;probabilities,9,geometry;Polygon Area;2D DP;Binary Search on Array;Inclusion-Exclusion,1D DP;BFS;Combinations;DFS;Distance Between Points;Permutations;Priority Queue;combinatorics;graphs;sortings
user10806,Graph Representation;constructive algorithms;graphs;interactive;shortest paths;sortings;trees;two pointers,8,shortest paths;two pointers;interactive;sortings;graphs,Simulation;data structures;implementation
user10811,Distance Between Points;Interval DP;geometry;hashing;string suffix structures,5,geometry;Distance Between Points;string suffix structures;Interval DP;hashing,2D DP;Hash Map;binary search;math;sortings;strings
user10819,flows;graph matchings,2,graph matchings;flows;Max Flow;geometry;Distance Between Points,graphs;shortest paths
user1082,Convex Hull;Max Flow;geometry;graph matchings,4,geometry;Convex Hull;graph matchings;Max Flow;Line Intersection,Distance Between Points;Orientation Test;Priority Queue;graphs;sortings
user10845,Binary Search on Array;Stack;Tree DFS;Tree DP;flows;graph matchings;shortest paths;trees,8,Tree DP;shortest paths;Tree DFS;flows;Binary Search on Array,DFS;data structures;dp;graphs;sortings
user10851,2D DP;Backtracking;Binary Search on Answer;Binary Search on Array;Bitmask Enumeration;Segment Tree;bitmasks;divide and conquer;dsu;geometry;ternary search;trees;two pointers,13,Segment Tree;2D DP;divide and conquer;geometry;Backtracking,1D DP;Queue;Recursion;Stack;brute force;data structures;dp;graphs;math;sortings
user10868,Hash Map,1,Hash Map;data structures;binary search;Brute Force Enumeration;strings,data structures
user10870,Combinations;Fast Exponentiation;Line Intersection;Modular Arithmetic;Recursion;combinatorics;geometry;shortest paths,8,Line Intersection;Fast Exponentiation;Combinations;Modular Arithmetic;shortest paths,Distance Between Points;GCD;Orientation Test;data structures;graphs;math
user10881,dp,1,dp;graphs;trees;dsu;Greedy Sorting,Recursion;brute force;data structures
user1089,BFS;Priority Queue;Segment Tree;String Matching;Suffix Automaton;Tree DFS;divide and conquer;dsu;geometry;graphs;hashing;shortest paths;string suffix structures,13,BFS;hashing;string suffix structures;shortest paths;Suffix Automaton,DFS;Graph Representation;Hash Map;Queue;Recursion;Stack;Z Algorithm;binary search;data structures;dp;sortings;strings
user10899,1D DP;2D DP;Binary Search on Answer;Binary Search on Array;Bitmask Enumeration;Difference Array;Expected Value;Knapsack;Line Intersection;Tree DFS;bitmasks;brute force;divide and conquer;dp;geometry;graphs;interactive;probabilities;shortest paths;trees,20,divide and conquer;probabilities;Difference Array;Line Intersection;geometry,DFS;Distance Between Points;Orientation Test;Recursion;Simulation;Stack;combinatorics;data structures;implementation;math;sortings
user10902,Coordinate Compression;DP on DAG;Max Flow;Monotonic Stack;Simulation;State Simulation;Topological Sort;Tree DFS;Tree DP;binary search;constructive algorithms;divide and conquer;geometry;graph matchings;interactive;two pointers,16,interactive;State Simulation;Monotonic Stack;geometry;DP on DAG,Connected Components;DFS;Priority Queue;Recursion;Stack;data structures;dp;graphs;implementation;sortings
user10913,1D DP;BFS;Binary Search on Answer;Binary Search on Array;Bitmask Enumeration;Combinations;Connected Components;Custom Comparator Sorting;Difference Array;Distance Between Points;Graph Representation;Hash Map;Line Intersection;Permutations;Priority Queue;Recursion;Simulation;binary search;bitmasks;combinatorics;data structures;divide and conquer;dp;geometry;math;shortest paths;sortings;two pointers,28,Permutations;divide and conquer;1D DP;combinatorics;Binary Search on Array,DFS;Orientation Test;Queue;Stack;brute force;graphs
user10915,,0,graph matchings;Convex Hull;geometry;Distance Between Points;Tree DP,
user10919,2D DP;Binary Search on Answer;Brute Force Enumeration;Connected Components;Divisors;Expected Value;Fast Exponentiation;Max Flow;Prime Factorization;Prime Sieve;Priority Queue;binary search;combinatorics;flows;geometry;graph matchings;math;number theory;probabilities;shortest paths,20,Max Flow;Binary Search on Answer;geometry;flows;number theory,1D DP;BFS;Binary Search on Array;DFS;GCD;Queue;Stack;data structures;graphs;sortings
user10922,Binary Lifting;Interval DP;Knapsack;geometry,4,geometry;Binary Lifting;Knapsack;Interval DP;Convex Hull,2D DP;Sparse Table;Tree DFS
user10946,Segment Tree;divide and conquer;geometry;graphs;hashing;interactive;shortest paths;trees,8,shortest paths;graphs;interactive;hashing;trees,Hash Map;Recursion;Simulation;data structures;dp;strings
user10947,,0,2D DP;Cycle Detection;Bitmask DP;DFS;Knapsack,
user1095,2D DP;Binary Search on Array;Combinations;Expected Value;Ordered Set;dsu;games;graphs;interactive;probabilities;shortest paths;trees,12,2D DP;Expected Value;interactive;Binary Search on Array;shortest paths,1D DP;Queue;Simulation;Stack;combinatorics;data structures;math;sortings
user10955,2D DP;Bitmask DP;Meet-in-the-middle;Prime Factorization;Prime Sieve;String Matching;bitmasks;dp;graph matchings;hashing;interactive;shortest paths;string suffix structures;strings;ternary search,15,Prime Factorization;Meet-in-the-middle;hashing;Prime Sieve;Bitmask DP,1D DP;Binary Search on Answer;Hash Map;Recursion;Simulation;binary search;brute force;data structures;graphs;math;sortings
user10961,Ordered Set;geometry,2,Ordered Set;geometry;Line Intersection;Distance Between Points;graph matchings,data structures
user10982,Max Flow;geometry,2,geometry;Max Flow;Distance Between Points;Polygon Area;Hash Map,Priority Queue;graphs
user10998,Max Flow;graphs;shortest paths,3,shortest paths;Max Flow;graphs;Dijkstra;geometry,Priority Queue
user11003,Conditional Probability;DFS;Knapsack;Tree Diameter;probabilities;ternary search,6,probabilities;Conditional Probability;DFS;Tree Diameter;Knapsack,2D DP;Binary Search on Answer;Expected Value;Graph Representation;Tree DFS;combinatorics
user11020,Tree DFS;Tree DP;flows;geometry;graph matchings;shortest paths,6,graph matchings;flows;Tree DFS;Tree DP;shortest paths,DFS;dp;graphs
user11030,Meet-in-the-middle;Polygon Area;combinatorics;geometry;number theory;shortest paths,6,Polygon Area;Meet-in-the-middle;geometry;shortest paths;combinatorics,Distance Between Points;brute force;dp;graphs;math
user11062,Binary Lifting;Binary Search on Array;Distance Between Points;Tree DFS;Tree DP;bitmasks;geometry;hashing,8,geometry;Distance Between Points;Binary Lifting;bitmasks;Tree DP,DFS;Hash Map;Sparse Table;brute force;dp;math;sortings;strings
user1108,Binary Search on Array;binary search;data structures;games;two pointers,5,two pointers;games;binary search;Binary Search on Array;data structures,combinatorics;math;sortings
user11089,DFS;Dijkstra;Graph Representation;graphs;shortest paths,5,DFS;Graph Representation;Dijkstra;graphs;shortest paths,Priority Queue
user11110,BFS;Difference Array;Max Flow;Segment Tree;String Matching;data structures;games;hashing;string suffix structures;two pointers,10,Segment Tree;string suffix structures;Difference Array;Max Flow;games,Graph Representation;Hash Map;Priority Queue;Recursion;Stack;binary search;combinatorics;graphs;math;sortings;strings
user11137,Connected Components;DFS;Hash Map;binary search;graphs;trees,6,trees;graphs;Connected Components;Hash Map;DFS,BFS;Graph Representation;data structures;sortings
user11138,2D DP;Cycle Detection;DP on DAG;Ordered Set;Topological Sort;games,6,games;Ordered Set;Cycle Detection;DP on DAG;2D DP,1D DP;BFS;Connected Components;DFS;combinatorics;data structures;dp;math
