student_id,weak_kcs,n_weak,weakest_5,related_kcs
user10270,dsu,1,dsu;geometry;BFS;divide and conquer;shortest paths,Queue;Stack
user10273,Line Intersection;Max Flow;flows;geometry;graph matchings;graphs;shortest paths,7,Max Flow;graph matchings;flows;shortest paths;Line Intersection,Distance Between Points;Orientation Test;Priority Queue
user10285,2D DP;Bipartite Graph Check;DP on DAG;Distance Between Points;Topological Sort;Tree DFS;dp;geometry;graph matchings;graphs;trees,11,graph matchings;geometry;Topological Sort;2D DP;DP on DAG,1D DP;BFS;Connected Components;DFS;Recursion;brute force;data structures;math
user10287,geometry,1,geometry;Interval DP;Combinations;BFS;Connected Components,
user10307,Knapsack;Max Flow;Priority Queue;flows;geometry;graph matchings,6,geometry;graph matchings;Max Flow;Priority Queue;flows,2D DP;Queue;Stack;graphs;shortest paths
user10314,DP on DAG;Topological Sort;geometry;trees,4,Topological Sort;DP on DAG;geometry;trees;graphs,Connected Components;DFS;data structures;dp;graphs
user10357,geometry,1,geometry;Distance Between Points;Line Intersection;DFS;dsu,
user1037,Expected Value;Max Flow;binary search;combinatorics;divide and conquer;flows;graph matchings;hashing;probabilities;shortest paths;string suffix structures,11,Max Flow;flows;string suffix structures;probabilities;graph matchings,Hash Map;Priority Queue;dp;graphs;math;sortings;strings
user10371,number theory,1,number theory;constructive algorithms;implementation;graphs;brute force,math
user10373,Tree DFS,1,Tree DFS;geometry;dsu;graphs;trees,DFS
user10381,2D DP;Dijkstra;Knapsack;shortest paths;string suffix structures;two pointers,6,shortest paths;Dijkstra;string suffix structures;2D DP;two pointers,1D DP;Graph Representation;Priority Queue;binary search;data structures;graphs;sortings;strings
user10383,Tree DFS;divide and conquer;dsu;geometry;graph matchings;graphs;trees,7,trees;graph matchings;divide and conquer;geometry;Tree DFS,DFS;Queue;Stack;data structures;dp
user10384,Cycle Detection;Distance Between Points;geometry;shortest paths,4,Distance Between Points;geometry;shortest paths;Cycle Detection;Connected Components,BFS;DFS;graphs;math
user10403,Binary Search on Array;Dijkstra;Hash Map;Ordered Set;Two Pointers on Sorted Array;binary search;bitmasks;data structures;divide and conquer;flows;geometry;graphs;probabilities;shortest paths;sortings;ternary search;two pointers,17,geometry;Ordered Set;two pointers;Two Pointers on Sorted Array;binary search,Binary Search on Answer;Graph Representation;Priority Queue;brute force;combinatorics;dp;math
user10411,Binary Lifting;Bipartite Graph Check;DFS;Dijkstra;Prefix Function;Priority Queue;Suffix Array;geometry;graphs;hashing;shortest paths;string suffix structures,12,geometry;DFS;string suffix structures;Binary Lifting;Dijkstra,BFS;Graph Representation;Hash Map;Queue;Sparse Table;Stack;String Matching;Tree DFS;binary search;sortings;strings
user10421,,0,geometry;Priority Queue;Binary Search on Array;binary search;dsu,
user10423,,0,Combinations;hashing;math;data structures;binary search,
user10426,DFS;Distance Between Points;Topological Sort;flows;geometry;graph matchings,6,geometry;Distance Between Points;graph matchings;flows;Topological Sort,Connected Components;Graph Representation;graphs;math;shortest paths
user10428,Activity Selection;Cycle Detection;Tree DFS;Two Pointers on Sorted Array;divide and conquer;geometry;trees,7,Activity Selection;geometry;Cycle Detection;Two Pointers on Sorted Array;trees,BFS;DFS;data structures;dp;graphs;sortings
user10442,,0,Topological Sort;dsu;Strongly Connected Components;2D DP;graphs,
user10464,Dijkstra;Max Flow;flows;geometry;shortest paths,5,geometry;Dijkstra;Max Flow;flows;shortest paths,Graph Representation;Priority Queue;graphs
user10468,DFS;Dijkstra;Hash Map;divide and conquer;flows;geometry;graph matchings;shortest paths;two pointers,9,Dijkstra;graph matchings;two pointers;shortest paths;DFS,Graph Representation;Priority Queue;data structures;dp;graphs
user10484,Fast Exponentiation;Inclusion-Exclusion;Max Flow;Polygon Area;Prime Sieve;flows;geometry;graph matchings,8,geometry;graph matchings;Polygon Area;Max Flow;flows,Combinations;Distance Between Points;Permutations;Priority Queue;graphs;math;shortest paths
user10493,BFS;Binary Search on Answer;Connected Components;Convex Hull;DFS;Dijkstra;Interval DP;Max Flow;Suffix Array;Topological Sort;flows;geometry;graph matchings;hashing;string suffix structures,15,Convex Hull;graph matchings;geometry;Dijkstra;Max Flow,2D DP;Binary Search on Array;Distance Between Points;Graph Representation;Hash Map;Orientation Test;Priority Queue;String Matching;binary search;graphs;shortest paths;sortings;strings
user10504,2D DP;Distance Between Points;Line Intersection;Max Flow;Priority Queue;String Matching;flows;geometry;graph matchings;graphs;hashing;shortest paths;string suffix structures;strings,14,string suffix structures;flows;graph matchings;hashing;Max Flow,1D DP;Hash Map;Orientation Test;Queue;Stack;binary search;data structures;math;sortings
user1051,Binary Search on Answer;Coordinate Compression;Fenwick Tree;Max Flow;Multiset;Ordered Set;Tree DFS;Tree DP;flows;geometry;shortest paths,11,geometry;flows;Max Flow;Fenwick Tree;shortest paths,Binary Search on Array;DFS;Hash Map;Priority Queue;data structures;dp;graphs;sortings
user10512,Prime Sieve;geometry,2,geometry;Prime Sieve;Fast Exponentiation;games;ternary search,math
user10526,Priority Queue;Tree DP;geometry;hashing;shortest paths;string suffix structures,6,string suffix structures;geometry;Priority Queue;shortest paths;Tree DP,Hash Map;Queue;Stack;Tree DFS;binary search;dp;graphs;sortings;strings
user10534,divide and conquer;geometry;shortest paths,3,geometry;shortest paths;divide and conquer;Distance Between Points;Polygon Area,dp;graphs
user10539,Bitmask DP;Bitmask Enumeration;Min Cut;Segment Tree;data structures;fft;flows;geometry;graph matchings;shortest paths;two pointers,11,Min Cut;fft;graph matchings;shortest paths;flows,1D DP;Max Flow;Recursion;bitmasks;dp;graphs;math
user10560,,0,geometry;binary search;2D DP;Priority Queue;bitmasks,
user10563,Bipartite Graph Check;Digit DP;Max Flow;Orientation Test;divide and conquer;flows;geometry;graph matchings;shortest paths,9,graph matchings;geometry;Max Flow;Orientation Test;flows,1D DP;BFS;DFS;Distance Between Points;Priority Queue;dp;graphs
user10569,Dijkstra;Distance Between Points;Tree DP;flows;geometry;graph matchings,6,Distance Between Points;geometry;graph matchings;flows;Dijkstra,Graph Representation;Priority Queue;Tree DFS;dp;graphs;math;shortest paths
user10571,geometry;hashing;string suffix structures,3,geometry;string suffix structures;hashing;Polygon Area;Distance Between Points,Hash Map;binary search;sortings;strings
user10578,Bipartite Graph Check;Distance Between Points;geometry;graph matchings;hashing;string suffix structures;trees,7,Distance Between Points;graph matchings;geometry;Bipartite Graph Check;string suffix structures,BFS;DFS;Hash Map;binary search;data structures;graphs;math;sortings;strings
user10589,Bipartite Graph Check;Dijkstra;Tree DP;bitmasks;graphs;shortest paths,6,Dijkstra;Tree DP;shortest paths;Bipartite Graph Check;bitmasks,BFS;DFS;Graph Representation;Priority Queue;Tree DFS;brute force;dp;math
user10604,Fast Exponentiation;Hash Map;Ordered Set;geometry;string suffix structures;trees,6,geometry;Ordered Set;Fast Exponentiation;trees;Hash Map,binary search;data structures;graphs;math;sortings;strings
user10608,Activity Selection;Bitmask Enumeration;Coordinate Compression;Digit DP;Dijkstra;Distance Between Points;Monotonic Stack;binary search;data structures;geometry;graphs;shortest paths;trees,13,geometry;Distance Between Points;trees;shortest paths;Monotonic Stack,1D DP;Graph Representation;Priority Queue;Stack;math;sortings
user10624,Binary Lifting;Max Flow;Meet-in-the-middle;Mo's Algorithm;Sparse Table;Tree DP;binary search;divide and conquer;flows;graphs;shortest paths;string suffix structures;strings;trees;two pointers,15,Max Flow;flows;string suffix structures;Sparse Table;Binary Lifting,Priority Queue;Sliding Window;Sqrt Decomposition;Tree DFS;brute force;data structures;dp;sortings
user10631,2-sat;Binary Lifting;Dijkstra;Max Flow;Sparse Table;Strongly Connected Components;Trie;divide and conquer;flows;geometry;graph matchings;hashing;shortest paths;strings,14,geometry;Dijkstra;Sparse Table;graph matchings;Max Flow,BFS;Graph Representation;Hash Map;Priority Queue;String Matching;Tree DFS;data structures;dp;graphs
user10632,,0,geometry;flows;graphs;trees;Stack,
user10639,Tree DFS;shortest paths,2,shortest paths;Tree DFS;Max Flow;flows;Connected Components,DFS;graphs
user10641,Cycle Detection;Interval DP;Max Flow;Tree DP;flows;geometry;graph matchings;hashing;shortest paths;string suffix structures,10,geometry;flows;shortest paths;Max Flow;string suffix structures,2D DP;BFS;DFS;Hash Map;Priority Queue;Tree DFS;binary search;dp;graphs;sortings;strings
user10653,Suffix Automaton;hashing;string suffix structures,3,string suffix structures;Suffix Automaton;hashing;geometry;Distance Between Points,Hash Map;String Matching;Z Algorithm;binary search;sortings;strings
user1066,Dijkstra;geometry;shortest paths,3,geometry;Dijkstra;shortest paths;Shortest Path in DAG;Distance Between Points,Graph Representation;Priority Queue;graphs
user10660,Tree DP;geometry;graph matchings,3,geometry;Tree DP;graph matchings;flows;Shortest Path in DAG,Tree DFS;dp
user1067,Binary Lifting;Bipartite Graph Check;Dijkstra;Distance Between Points;Meet-in-the-middle;Priority Queue;binary search;bitmasks;brute force;data structures;dp;games;geometry;graph matchings;graphs;greedy;math;number theory;string suffix structures;strings;trees,21,bitmasks;number theory;Distance Between Points;brute force;Meet-in-the-middle,BFS;DFS;Graph Representation;Queue;Recursion;Sparse Table;Stack;Tree DFS;combinatorics;implementation;sortings
user10682,divide and conquer;geometry,2,geometry;divide and conquer;Distance Between Points;Dijkstra;Priority Queue,dp;graphs
user10684,2-sat;Meet-in-the-middle;Mo's Algorithm;Segment Tree;Tree DP;geometry;graph matchings;graphs;shortest paths;string suffix structures;trees,11,geometry;shortest paths;string suffix structures;graph matchings;Meet-in-the-middle,Recursion;Sliding Window;Sqrt Decomposition;Strongly Connected Components;Tree DFS;binary search;brute force;data structures;dp;sortings;strings
user10687,Digit DP;Longest Common Subsequence;Sliding Window;geometry;string suffix structures,5,geometry;string suffix structures;Sliding Window;Digit DP;Longest Common Subsequence,1D DP;binary search;sortings;strings
user10688,2D DP;Max Flow;flows;geometry;graph matchings;graphs,6,flows;Max Flow;graph matchings;geometry;graphs,1D DP;Priority Queue;shortest paths
user10693,DFS;Prime Sieve;Segment Tree;State Simulation;brute force;divide and conquer;geometry;graphs;number theory;shortest paths;trees;two pointers,12,shortest paths;graphs;brute force;Prime Sieve;State Simulation,Graph Representation;Recursion;data structures;dp;implementation;math
user10694,Priority Queue;flows;geometry,3,geometry;flows;Priority Queue;Polygon Area;Distance Between Points,Queue;Stack;graphs;shortest paths
user10696,flows,1,flows;geometry;Topological Sort;Priority Queue;divide and conquer,graphs;shortest paths
user10697,geometry;trees,2,geometry;trees;Polygon Area;Distance Between Points;flows,data structures;graphs
user1070,BFS;Binary Lifting;Bipartite Graph Check;Connected Components;Coordinate Compression;Max Flow;Priority Queue;Stack;Suffix Automaton;Tree DFS;expression parsing;flows;geometry;graph matchings;shortest paths;string suffix structures;trees,17,graph matchings;geometry;Max Flow;Stack;flows,DFS;Graph Representation;Queue;Sparse Table;String Matching;Z Algorithm;binary search;data structures;graphs;sortings;strings
user10702,binary search;constructive algorithms;data structures;hashing;string suffix structures;strings;two pointers,7,string suffix structures;strings;two pointers;data structures;binary search,Hash Map;implementation;sortings
user10706,Line Intersection;geometry;sortings,3,geometry;Line Intersection;sortings;Dijkstra;Bipartite Graph Check,Distance Between Points;Orientation Test
user1075,Max Flow;Ordered Set;Orientation Test;Priority Queue;Tree DFS;Tree DP;fft;flows;geometry,9,fft;geometry;Max Flow;Orientation Test;flows,DFS;Distance Between Points;Queue;Stack;data structures;dp;graphs;shortest paths
user10753,2D DP;Binary Search on Answer;Binary Search on Array;Coordinate Compression;Fenwick Tree;Hash Map;Ordered Set;binary search;flows;geometry;graphs;hashing;shortest paths;strings;ternary search,15,Fenwick Tree;Coordinate Compression;hashing;Binary Search on Answer;flows,1D DP;data structures;sortings
user10767,bitmasks;sortings;two pointers,3,bitmasks;two pointers;sortings;geometry;Distance Between Points,brute force;data structures;math
user1077,Binary Search on Answer;Bipartite Graph Check;Dijkstra;Distance Between Points;Floyd-Warshall;Orientation Test;geometry;graph matchings;shortest paths,9,Distance Between Points;graph matchings;Dijkstra;Floyd-Warshall;shortest paths,BFS;Binary Search on Array;DFS;Graph Representation;Priority Queue;dp;graphs;math
user1080,Bipartite Graph Check;Connected Components;Coordinate Compression;DFS;Priority Queue;Tree DP;geometry;probabilities;string suffix structures,9,geometry;string suffix structures;Bipartite Graph Check;DFS;Coordinate Compression,BFS;Graph Representation;Queue;Stack;Tree DFS;binary search;combinatorics;dp;sortings;strings
user10805,Max Flow;Two Pointers on Sorted Array;binary search;flows;geometry,5,geometry;Max Flow;flows;Two Pointers on Sorted Array;binary search,Priority Queue;graphs;shortest paths;sortings
user10806,geometry;graphs;interactive;shortest paths;sortings;trees;two pointers,7,shortest paths;graphs;trees;two pointers;interactive,Simulation;data structures
user10811,DFS;Interval DP;geometry;hashing;string suffix structures,5,string suffix structures;Interval DP;geometry;hashing;DFS,2D DP;Graph Representation;Hash Map;binary search;sortings;strings
user10819,DFS;flows;graph matchings;shortest paths,4,flows;graph matchings;shortest paths;DFS;geometry,Graph Representation;graphs
user1082,Bipartite Graph Check;Convex Hull;Dijkstra;Max Flow;Priority Queue;flows;geometry;graph matchings;shortest paths,9,graph matchings;geometry;Dijkstra;Max Flow;shortest paths,BFS;DFS;Distance Between Points;Graph Representation;Orientation Test;Queue;Stack;graphs;sortings
user10845,Binary Search on Array;Priority Queue;Tree DFS;Tree DP;flows;geometry;shortest paths;trees,8,Tree DP;Tree DFS;shortest paths;geometry;flows,DFS;Queue;Stack;data structures;dp;graphs;sortings
user10851,2D DP;Backtracking;Binary Search on Answer;Segment Tree;divide and conquer;geometry;shortest paths;string suffix structures;ternary search;two pointers,10,geometry;Segment Tree;2D DP;ternary search;two pointers,1D DP;Binary Search on Array;Recursion;binary search;data structures;dp;graphs;sortings;strings
user10868,Hash Map,1,Hash Map;dsu;data structures;Difference Array;binary search,data structures
user10870,Fast Exponentiation;Line Intersection;geometry;shortest paths,4,Line Intersection;geometry;shortest paths;Fast Exponentiation;Distance Between Points,Distance Between Points;Orientation Test;graphs;math
user10881,,0,graphs;trees;dsu;dp;data structures,
user1089,BFS;Segment Tree;Suffix Automaton;Tree DFS;geometry;hashing;shortest paths;string suffix structures,8,geometry;string suffix structures;BFS;hashing;shortest paths,DFS;Graph Representation;Hash Map;Recursion;String Matching;Z Algorithm;binary search;data structures;graphs;sortings;strings
user10899,Binary Search on Array;Difference Array;Distance Between Points;Priority Queue;divide and conquer;geometry;graphs;probabilities;shortest paths;trees,10,Distance Between Points;divide and conquer;shortest paths;geometry;Difference Array,Queue;Stack;combinatorics;data structures;dp;math;sortings
user10902,2-sat;Coordinate Compression;DP on DAG;Distance Between Points;Max Flow;Simulation;State Simulation;Topological Sort;Tree DFS;Tree DP;binary search;constructive algorithms;divide and conquer;flows;geometry;graph matchings;interactive;two pointers,18,interactive;State Simulation;graph matchings;Max Flow;geometry,Connected Components;DFS;Priority Queue;Recursion;Strongly Connected Components;data structures;dp;graphs;implementation;math;shortest paths;sortings
user10913,Binary Search on Array;Distance Between Points;Permutations;binary search;combinatorics;data structures;divide and conquer;geometry;shortest paths;sortings;two pointers,11,Permutations;Binary Search on Array;divide and conquer;two pointers;geometry,dp;graphs;math
user10915,Tree DP;shortest paths,2,shortest paths;Tree DP;geometry;Convex Hull;Distance Between Points,Tree DFS;dp;graphs
user10919,2D DP;Binary Search on Answer;Fast Exponentiation;Max Flow;Prime Factorization;Prime Sieve;binary search;flows;geometry;graph matchings;number theory,11,geometry;flows;Max Flow;graph matchings;number theory,1D DP;Binary Search on Array;Priority Queue;graphs;math;shortest paths;sortings
user10922,Binary Lifting;Dijkstra;Interval DP;Topological Sort;Tree DP;flows;geometry;graph matchings;shortest paths,9,geometry;Binary Lifting;flows;shortest paths;graph matchings,2D DP;Connected Components;DFS;Graph Representation;Priority Queue;Sparse Table;Tree DFS;dp;graphs
user10946,divide and conquer;geometry;graphs;hashing;interactive;shortest paths;trees,7,shortest paths;geometry;graphs;trees;hashing,Hash Map;Simulation;data structures;dp;strings
user10947,,0,DFS;Cycle Detection;Bitmask DP;Edit Distance;BFS,
user1095,2D DP;Binary Search on Array;Combinations;Expected Value;Priority Queue;binary search;divide and conquer;geometry;graphs;probabilities;shortest paths;trees,12,geometry;shortest paths;Binary Search on Array;divide and conquer;trees,1D DP;Queue;Stack;combinatorics;data structures;dp;math;sortings
user10955,Bitmask DP;Meet-in-the-middle;Prime Factorization;Prime Sieve;String Matching;dp;graph matchings;hashing;shortest paths;string suffix structures;strings,11,Meet-in-the-middle;Bitmask DP;string suffix structures;Prime Factorization;hashing,1D DP;Hash Map;Recursion;binary search;bitmasks;brute force;data structures;graphs;math;sortings
user10961,Bipartite Graph Check;DP on DAG;Priority Queue;Stack;flows;geometry;graph matchings,7,geometry;graph matchings;Bipartite Graph Check;Priority Queue;flows,BFS;DFS;Queue;Topological Sort;dp;graphs;shortest paths
user10982,Connected Components;Max Flow;flows;geometry,4,Max Flow;geometry;flows;Connected Components;Distance Between Points,BFS;DFS;Priority Queue;graphs;shortest paths
user10998,Dijkstra;Distance Between Points;Interval DP;Max Flow;Priority Queue;flows;geometry;graphs;shortest paths,9,Distance Between Points;geometry;Max Flow;shortest paths;flows,2D DP;Graph Representation;Queue;Stack;math
user11003,DFS;Knapsack;geometry;probabilities,4,geometry;DFS;probabilities;Knapsack;flows,2D DP;Graph Representation;combinatorics
user11020,Tree DP;flows;geometry;graph matchings;shortest paths,5,geometry;graph matchings;shortest paths;flows;Tree DP,Tree DFS;dp;graphs
user11030,Meet-in-the-middle;Polygon Area;geometry;shortest paths,4,geometry;Polygon Area;Meet-in-the-middle;shortest paths;Distance Between Points,Distance Between Points;brute force;dp;graphs
user11062,Binary Lifting;Distance Between Points;Tree DFS;Tree DP;bitmasks;geometry,6,geometry;Binary Lifting;Distance Between Points;Tree DFS;bitmasks,DFS;Sparse Table;brute force;dp;math
user1108,Binary Search on Array;binary search;geometry;two pointers,4,two pointers;Binary Search on Array;binary search;geometry;flows,data structures;sortings
user11089,Connected Components;DFS;Dijkstra;Graph Representation;Topological Sort;geometry;graphs;shortest paths,8,Graph Representation;Dijkstra;DFS;shortest paths;graphs,BFS;Priority Queue
user11110,Dijkstra;Max Flow;Segment Tree;flows;graph matchings;hashing;shortest paths;string suffix structures,8,string suffix structures;flows;Segment Tree;Max Flow;Dijkstra,Graph Representation;Hash Map;Priority Queue;Recursion;binary search;data structures;graphs;sortings;strings
user11137,Connected Components;DFS;geometry;graphs;trees,5,Connected Components;trees;graphs;DFS;geometry,BFS;Graph Representation;data structures
user11138,Connected Components;Cycle Detection;DFS;Ordered Set;Priority Queue;Topological Sort;flows;games;geometry,9,geometry;Ordered Set;Priority Queue;Topological Sort;DFS,BFS;Graph Representation;Queue;Stack;combinatorics;data structures;graphs;math;shortest paths
user11139,Dijkstra;Longest Common Subsequence;flows;geometry;shortest paths,5,geometry;Dijkstra;shortest paths;flows;Longest Common Subsequence,1D DP;Graph Representation;Priority Queue;graphs
user11149,Backtracking;Segment Tree;binary search;divide and conquer;geometry;interactive;two pointers,7,interactive;Segment Tree;Backtracking;geometry;divide and conquer,Recursion;Simulation;data structures;dp;graphs;sortings
user11153,Hash Map;divide and conquer;flows;geometry;two pointers,5,divide and conquer;geometry;Hash Map;flows;two pointers,data structures;dp;graphs;shortest paths
user11154,,0,geometry;graph matchings;Priority Queue;flows;dsu,
user11164,Dijkstra;Ordered Set;Priority Queue;Tree DFS;Tree DP;geometry;hashing,7,geometry;Tree DP;Dijkstra;Priority Queue;Tree DFS,DFS;Graph Representation;Hash Map;Queue;Stack;data structures;dp;strings
user1118,Combinations;Divisors;Hash Map;Max Flow;Min Cut;Modular Arithmetic;State Simulation;flows;geometry;graph matchings;shortest paths,11,Min Cut;geometry;Max Flow;graph matchings;flows,GCD;Prime Factorization;Priority Queue;Recursion;data structures;graphs;math
user11185,2D DP;Combinations;flows;geometry,4,geometry;flows;Combinations;2D DP;Permutations,1D DP;graphs;math;shortest paths
user11188,Bipartite Graph Check;Dijkstra;Topological Sort;flows;geometry;graph matchings,6,graph matchings;Dijkstra;geometry;Topological Sort;flows,BFS;Connected Components;DFS;Graph Representation;Priority Queue;graphs;shortest paths
user11189,DFS;Dijkstra;Distance Between Points;Interval DP;Orientation Test;Priority Queue;Queue;geometry;graph matchings,9,graph matchings;Orientation Test;geometry;Dijkstra;Priority Queue,2D DP;Graph Representation;Stack;math
user11192,Distance Between Points;Hash Map;Tree DP;flows;geometry,5,geometry;Tree DP;flows;Distance Between Points;Hash Map,Tree DFS;data structures;dp;graphs;math;shortest paths
user11199,Suffix Automaton;hashing,2,hashing;Suffix Automaton;Connected Components;Graph Representation;graphs,Hash Map;String Matching;Z Algorithm;strings
user112,Connected Components;DFS;geometry,3,geometry;Connected Components;DFS;string suffix structures;Topological Sort,BFS;Graph Representation
user1120,,0,dsu;Binary Search on Answer;Difference Array;graphs;Custom Comparator Sorting,
user11215,DFS;Distance Between Points;Fenwick Tree;Max Flow;Priority Queue;flows;geometry;graph matchings;probabilities;shortest paths;string suffix structures,11,string suffix structures;shortest paths;Max Flow;Fenwick Tree;geometry,Graph Representation;Queue;Stack;binary search;combinatorics;data structures;graphs;math;sortings;strings
user11218,dsu,1,dsu;Orientation Test;geometry;Bipartite Graph Check;DFS,Queue;Stack
user11225,,0,geometry;Distance Between Points;flows;Tree DFS;dsu,
user1124,Binary Search on Answer;DP on DAG;Interval DP;Lowest Common Ancestor;Tree DP;Two Pointers on Sorted Array;flows;geometry,8,flows;geometry;Lowest Common Ancestor;Binary Search on Answer;Two Pointers on Sorted Array,2D DP;Binary Search on Array;Topological Sort;Tree DFS;dp;graphs;shortest paths;sortings
user11249,2-sat;KMP;Longest Common Subsequence;geometry;graph matchings;hashing;string suffix structures,7,string suffix structures;geometry;graph matchings;KMP;Longest Common Subsequence,1D DP;Hash Map;Prefix Function;String Matching;Strongly Connected Components;binary search;sortings;strings
user11250,DFS;Dijkstra;Topological Sort;Tree DP;dsu;flows;geometry;graph matchings,8,geometry;Dijkstra;graph matchings;Tree DP;Topological Sort,Connected Components;Graph Representation;Priority Queue;Queue;Stack;Tree DFS;dp;graphs;shortest paths
user11253,geometry;hashing;string suffix structures,3,geometry;string suffix structures;hashing;graph matchings;flows,Hash Map;binary search;sortings;strings
