problem_idx,problem_id,b_i,rating,kc_names
49,1515-C,-1.66666667,1400,constructive algorithms;data structures;greedy;Simulation;Stack
50,1515-D,-1.44444444,1500,greedy;sortings;two pointers;Custom Comparator Sorting;Greedy Sorting
51,1515-E,0.11111111,2200,combinatorics;dp;math;1D DP;Combinations
52,1521-A,-2.55555556,1000,constructive algorithms;math;number theory;Brute Force Enumeration
53,1521-B,-1.88888889,1300,constructive algorithms;math;number theory;Backtracking
54,1521-C,-0.33333333,2000,constructive algorithms;interactive;Recursion
55,1528-B,-1.00000000,1700,combinatorics;dp;math;2D DP
56,1528-A,-1.22222222,1600,divide and conquer;dp;graphs;greedy;trees
57,1553-A,-3.00000000,800,math;number theory;Prime Sieve
58,1553-C,-2.11111111,1200,bitmasks;brute force;dp;greedy;Brute Force Enumeration
59,1553-D,-1.44444444,1500,dp;greedy;strings;two pointers;Longest Increasing Subsequence;Two Pointers on Sorted Array
60,1553-E,-0.11111111,2100,brute force;combinatorics;constructive algorithms;dsu;graphs;math;Brute Force Enumeration;DFS
61,1553-B,-1.88888889,1300,brute force;dp;hashing;implementation;strings;Brute Force Enumeration
62,1552-A,-3.00000000,800,sortings;strings;Longest Increasing Subsequence
63,1552-B,-1.44444444,1500,combinatorics;graphs;greedy;sortings;Interval Scheduling
64,1552-C,-0.77777778,1800,combinatorics;constructive algorithms;geometry;greedy;sortings;Greedy Sorting
65,1552-D,-0.77777778,1800,bitmasks;brute force;constructive algorithms;dp;graphs;math;Brute Force Enumeration;DFS
66,1552-E,0.33333333,2300,constructive algorithms;data structures;greedy;sortings;Activity Selection
67,1552-F,0.11111111,2200,binary search;data structures;dp;sortings;Longest Increasing Subsequence
68,1557-A,-3.00000000,800,brute force;math;sortings;Brute Force Enumeration
69,1557-B,-2.33333333,1100,greedy;sortings;Interval Scheduling
70,1557-C,-1.00000000,1700,bitmasks;combinatorics;dp;math;matrices;Longest Common Subsequence
71,1562-A,-3.00000000,800,greedy;math;Greedy Sorting
72,1562-B,-2.55555556,1000,brute force;constructive algorithms;implementation;math;number theory;Brute Force Enumeration;Divisors
73,1562-C,-1.44444444,1500,constructive algorithms;math;Recursion
74,1562-D1,-1.00000000,1700,data structures;dp;math;Bitmask DP
75,1562-D2,0.11111111,2200,data structures;math;Queue
76,1566-A,-3.00000000,800,binary search;greedy;math;Activity Selection
77,1566-B,-3.00000000,800,bitmasks;constructive algorithms;dp;greedy;Interval DP
78,1566-C,-2.55555556,1000,bitmasks;constructive algorithms;dp;greedy;1D DP
79,1566-D1,-2.33333333,1100,data structures;greedy;sortings;Interval Scheduling
80,1566-D2,-1.22222222,1600,data structures;greedy;implementation;sortings;two pointers;Two Pointers on Sorted Array
81,1566-E,-0.33333333,2000,constructive algorithms;dp;graphs;greedy;trees;Connected Components;DFS
82,1592-A,-3.00000000,800,binary search;greedy;math;sortings;Greedy Sorting
83,1592-B,-2.11111111,1200,constructive algorithms;dsu;math;sortings;Brute Force Enumeration
84,1592-C,-1.00000000,1700,bitmasks;constructive algorithms;dp;graphs;trees;Connected Components
85,1583-A,-3.00000000,800,math;number theory;Prime Factorization
86,1583-B,-2.11111111,1200,constructive algorithms;trees;Connected Components
87,1583-C,-1.00000000,1700,data structures;dp;Longest Increasing Subsequence
88,1616-A,-3.00000000,800,implementation;Simulation
89,1616-B,-2.33333333,1100,greedy;strings;Graph Representation;Greedy Sorting
90,1616-C,-1.44444444,1500,brute force;geometry;implementation;math;Brute Force Enumeration;Modular Arithmetic
91,1616-D,-0.33333333,2000,dp;greedy;math;1D DP;Greedy Sorting
92,1633-A,-3.00000000,800,brute force;Brute Force Enumeration
93,1633-B,-3.00000000,800,greedy;Greedy Sorting
94,1633-C,-2.33333333,1100,brute force;math;Brute Force Enumeration;Modular Arithmetic
95,1633-D,-1.22222222,1600,dp;greedy;1D DP;Greedy Sorting
96,1644-A,-3.00000000,800,implementation;Simulation
97,1644-C,-1.66666667,1400,brute force;dp;greedy;implementation;1D DP;Greedy Sorting
98,1644-D,-1.00000000,1700,data structures;implementation;math;Modular Arithmetic;Simulation
99,1644-E,-0.55555556,1900,brute force;combinatorics;data structures;implementation;math;Brute Force Enumeration;Modular Arithmetic
100,1691-A,-3.00000000,800,brute force;greedy;math;Modular Arithmetic
101,1691-B,-2.55555556,1000,constructive algorithms;greedy;implementation;two pointers;Simulation
102,1691-C,-1.66666667,1400,brute force;constructive algorithms;greedy;math;strings;Simulation
103,1691-D,-0.77777778,1800,binary search;constructive algorithms;data structures;divide and conquer;implementation;two pointers;Prefix Sum;Segment Tree
104,1689-A,-3.00000000,800,brute force;greedy;implementation;sortings;two pointers;Activity Selection
105,1689-B,-2.77777778,900,data structures;greedy;Activity Selection;Stack
106,1689-C,-1.22222222,1600,dp;graphs;trees;Tree DFS
107,1689-D,-0.55555556,1900,data structures;dp;geometry;shortest paths;1D DP;Stack
108,1699-A,-3.00000000,800,constructive algorithms;math;Simulation
109,1699-B,-2.77777778,900,bitmasks;constructive algorithms;matrices;Simulation
110,1699-C,-1.00000000,1700,combinatorics;constructive algorithms;math;Permutations
111,1705-A,-3.00000000,800,greedy;sortings;Greedy Sorting
112,1705-B,-2.77777778,900,constructive algorithms;greedy;implementation;Simulation
113,1705-C,-1.66666667,1400,brute force;implementation;Simulation
114,1705-D,-0.77777778,1800,combinatorics;constructive algorithms;greedy;math;sortings
115,1709-A,-3.00000000,800,brute force;greedy;implementation;math;Simulation
116,1709-B,-2.77777778,900,data structures;dp;implementation;Prefix Sum
117,1709-C,-0.77777778,1800,constructive algorithms;greedy;implementation;strings;Backtracking;Simulation
118,1709-D,-1.00000000,1700,binary search;data structures;greedy;math;Modular Arithmetic
119,1710-A,-1.44444444,1500,constructive algorithms;greedy;math;Simulation
120,1710-B,-0.11111111,2100,binary search;brute force;data structures;geometry;greedy;implementation;math
121,1704-A,-3.00000000,800,constructive algorithms;greedy;Simulation
122,1704-B,-2.55555556,1000,brute force;greedy;implementation;Simulation
123,1704-C,-2.11111111,1200,greedy;implementation;sortings;Custom Comparator Sorting
124,1720-A,-2.77777778,900,math;number theory;GCD
125,1720-B,-3.00000000,800,brute force;data structures;greedy;math;sortings
126,1720-C,-2.11111111,1200,greedy;implementation;Simulation
127,1720-D1,-0.77777778,1800,bitmasks;brute force;dp;strings;trees;two pointers
128,1787-A,-3.00000000,800,constructive algorithms;math
129,1787-B,-2.33333333,1100,greedy;math;number theory;Prime Factorization
130,1787-D,-0.55555556,1900,combinatorics;dsu;graphs;implementation
131,1951-A,-2.77777778,900,constructive algorithms;greedy;math
132,1951-B,-2.11111111,1200,binary search;data structures;greedy;Simulation
133,1951-C,-1.66666667,1400,greedy;math;sortings;Custom Comparator Sorting;Greedy Sorting
134,1951-D,-0.33333333,2000,constructive algorithms;greedy;math
135,1951-E,-0.33333333,2000,brute force;constructive algorithms;divide and conquer;greedy;hashing;implementation;math;strings
136,1954-A,-2.77777778,900,constructive algorithms;greedy;math
137,1954-B,-2.11111111,1200,implementation;math;Simulation
138,1954-C,-2.11111111,1200,greedy;math;number theory
139,1954-D,-0.77777778,1800,combinatorics;dp;math;sortings;Knapsack
140,1965-A,-1.66666667,1400,games;greedy;math;sortings
141,1965-C,0.33333333,2300,constructive algorithms;greedy;strings
142,1965-D,1.66666667,2900,constructive algorithms;Prefix Sum;Simulation
143,1980-A,-3.00000000,800,math
144,1980-B,-3.00000000,800,sortings
145,1980-C,-1.88888889,1300,constructive algorithms;greedy
146,1980-D,-1.66666667,1400,greedy;implementation;math;number theory;GCD
147,1980-E,-1.22222222,1600,constructive algorithms;data structures;greedy;hashing;implementation;math;matrices;sortings
148,1980-F1,-0.55555556,1900,data structures;math;sortings;Custom Comparator Sorting;Greedy Sorting
149,1980-F2,0.55555556,2400,math;sortings;Custom Comparator Sorting
150,1984-A,-3.00000000,800,constructive algorithms;Simulation
151,1984-B,-2.33333333,1100,implementation;math;Brute Force Enumeration
152,1984-C1,-1.88888889,1300,dp;greedy;math;1D DP;Binary Search on Array
153,1984-C2,-1.00000000,1700,combinatorics;dp;greedy;math;2D DP
154,1984-E,0.55555556,2400,dp;greedy;trees;Greedy Sorting;Tree DP
155,1994-A,-3.00000000,800,constructive algorithms;greedy;implementation;State Simulation
156,1994-B,-2.33333333,1100,bitmasks;constructive algorithms;greedy;math
157,1994-C,-1.22222222,1600,binary search;dp;two pointers;1D DP;Binary Search on Array
158,1994-D,-0.55555556,1900,constructive algorithms;dsu;graphs;greedy;math;number theory;trees
159,1994-E,-0.33333333,2000,bitmasks;greedy;math;trees;Bitmask Enumeration;Greedy Sorting
160,1994-G,1.00000000,2600,bitmasks;brute force;dp;graphs;math;Bitmask DP
161,1991-A,-3.00000000,800,greedy;implementation;State Simulation
162,1991-B,-2.33333333,1100,bitmasks;constructive algorithms;greedy;Bitmask Enumeration;State Simulation
163,1991-C,-1.88888889,1300,constructive algorithms;greedy;math;State Simulation
164,1991-E,-0.55555556,1900,constructive algorithms;games;graphs;greedy;interactive
165,1991-F,0.11111111,2200,brute force;greedy;implementation;math;sortings
166,1873-A,-3.00000000,800,brute force;implementation;Simulation
167,1873-B,-3.00000000,800,brute force;greedy;math
168,1873-C,-3.00000000,800,implementation;math
169,1873-D,-3.00000000,800,greedy;implementation;two pointers;Sliding Window
170,1873-E,-2.33333333,1100,binary search;sortings;Binary Search on Answer
171,1873-G,-1.44444444,1500,constructive algorithms;greedy
172,1907-A,-3.00000000,800,implementation;Simulation
173,1797-C,-1.22222222,1600,constructive algorithms;greedy;interactive
174,1955-A,-3.00000000,800,math
175,1955-B,-2.55555556,1000,constructive algorithms;data structures;implementation;sortings;Custom Comparator Sorting
176,1955-C,-1.88888889,1300,greedy;implementation;math
177,1969-A,-3.00000000,800,constructive algorithms;implementation;math
178,1969-B,-2.55555556,1000,constructive algorithms;greedy
179,1969-C,-1.00000000,1700,dp;implementation;2D DP
180,1971-A,-3.00000000,800,implementation;sortings
181,1971-B,-3.00000000,800,implementation;strings;Brute Force Enumeration
182,1971-C,-2.77777778,900,implementation;Simulation
183,1971-D,-2.33333333,1100,dp;greedy;implementation;sortings;strings
184,1971-E,-1.44444444,1500,binary search;math;sortings;Binary Search on Array
185,1971-F,-1.22222222,1600,binary search;brute force;geometry;graphs;implementation;math
186,1968-A,-3.00000000,800,brute force;math;number theory;Divisors;GCD
187,886-A,-2.55555556,1000,brute force
188,912-A,-3.00000000,800,implementation;Simulation
189,1989-A,-3.00000000,800,implementation;State Simulation
190,1989-B,-2.11111111,1200,brute force;greedy;strings;Greedy Sorting;String Matching
191,1989-C,-1.66666667,1400,greedy;math;Greedy Sorting
192,1978-A,-3.00000000,800,constructive algorithms;greedy;sortings;Simulation
193,1978-B,-3.00000000,800,binary search;greedy;math;ternary search
194,1968-B,-3.00000000,800,greedy;two pointers;Two Pointers on Sorted Array
195,1995-A,-3.00000000,800,brute force;greedy;implementation;math
196,1995-B2,-1.00000000,1700,binary search;data structures;greedy;math;sortings;two pointers
197,1995-C,-0.77777778,1800,brute force;constructive algorithms;greedy;implementation;math;number theory
198,1995-B1,-2.33333333,1100,binary search;brute force;greedy;sortings;two pointers;Binary Search on Array;Greedy Sorting
199,1433-A,-3.00000000,800,implementation;math;Simulation
200,1237-A,-2.55555556,1000,implementation;math;Simulation
201,1985-A,-3.00000000,800,implementation;strings
202,1985-C,-2.55555556,1000,greedy
203,510-A,-3.00000000,800,implementation
204,110-A,-3.00000000,800,implementation
205,546-A,-3.00000000,800,brute force;implementation;math
206,236-A,-3.00000000,800,brute force;implementation;strings
207,281-A,-3.00000000,800,implementation;strings
208,1978-D,-1.22222222,1600,data structures;greedy;implementation;math;Prefix Sum
209,50-A,-3.00000000,800,greedy;math
210,670-D1,-1.66666667,1400,binary search;brute force;implementation;Binary Search on Answer
211,670-D2,-1.44444444,1500,binary search;implementation
212,689-C,-1.00000000,1700,binary search;combinatorics;math;Binary Search on Answer;Divisors
213,1352-C,-2.11111111,1200,binary search;math;Binary Search on Answer;Modular Arithmetic
214,1985-B,-3.00000000,800,brute force;math;number theory
215,1985-F,-1.44444444,1500,binary search;data structures
216,264-B,-1.44444444,1500,dp;number theory;Prime Factorization
217,1444-A,-1.44444444,1500,brute force;math;number theory;Divisors;Prime Factorization
218,1933-D,-2.11111111,1200,constructive algorithms;greedy;math;number theory;sortings
219,1916-B,-2.55555556,1000,constructive algorithms;math;number theory;Divisors;GCD
220,1902-C,-1.88888889,1300,brute force;constructive algorithms;greedy;math;number theory
221,1877-C,-2.11111111,1200,math;number theory;Modular Arithmetic
222,1866-B,-1.66666667,1400,combinatorics;math;number theory;Combinations;Fast Exponentiation;Modular Arithmetic
223,1842-B,-2.33333333,1100,bitmasks;greedy;math
224,1926-D,-1.88888889,1300,bitmasks;greedy;Bitmask Enumeration
225,1045-I,-1.22222222,1600,hashing;strings
226,1985-G,-1.22222222,1600,combinatorics;math;number theory
227,1941-E,-1.22222222,1600,binary search;data structures;dp;two pointers;1D DP;Sliding Window
228,1970-E1,-0.77777778,1800,dp;2D DP
229,1970-E2,-0.33333333,2000,dp;matrices;2D DP
230,1626-C,-1.00000000,1700,binary search;data structures;dp;greedy;implementation;math;two pointers;Binary Search on Array;Greedy Sorting
231,1907-E,-1.22222222,1600,brute force;combinatorics;number theory;Combinations
232,1862-F,-0.77777778,1800,binary search;bitmasks;brute force;dp;Binary Search on Answer;Knapsack
233,1968-F,-0.77777778,1800,binary search;data structures;Binary Search on Array;Hash Map
234,1691-E,0.33333333,2300,data structures;dsu;graphs;greedy;sortings;Coordinate Compression
235,3-C,-0.77777778,1800,brute force;games;implementation
236,427-C,-1.00000000,1700,graphs;two pointers;Strongly Connected Components
237,474-D,-1.00000000,1700,dp;1D DP
238,13-E,1.22222222,2700,data structures;dsu
239,1955-G,-0.55555556,1900,brute force;dp;graphs;implementation;math;number theory
240,1968-G1,-0.55555556,1900,binary search;data structures;dp;hashing;string suffix structures;strings
241,1968-G2,0.11111111,2200,binary search;brute force;data structures;dp;hashing;math;string suffix structures;strings
242,1978-F,0.55555556,2400,data structures;dsu;graphs;number theory;two pointers
243,1985-H1,-1.00000000,1700,brute force;data structures;dsu;graphs;implementation
244,1980-G,0.33333333,2300,bitmasks;data structures;graphs;greedy;strings;trees
245,278-B,-1.44444444,1500,brute force;strings
246,346-C,0.11111111,2200,greedy;math
247,1989-D,-0.55555556,1900,brute force;data structures;dp;greedy;math;sortings;two pointers
248,166-D,0.77777778,2500,dp;graph matchings;greedy;sortings;two pointers;1D DP;Bipartite Graph Check
249,1984-D,-0.33333333,2000,brute force;hashing;implementation;math;string suffix structures;strings;String Matching;Suffix Automaton
250,1328-D,-0.77777778,1800,constructive algorithms;dp;graphs;greedy;math;1D DP
251,577-B,-0.55555556,1900,combinatorics;data structures;dp;two pointers;1D DP
252,1731-C,-1.00000000,1700,bitmasks;brute force;hashing;math;number theory
253,1213-G,-0.77777778,1800,divide and conquer;dsu;graphs;sortings;trees
254,1271-C,-1.88888889,1300,brute force;geometry;greedy;implementation;Distance Between Points
255,1422-C,-1.00000000,1700,combinatorics;dp;math;Digit DP
256,1270-D,-0.55555556,1900,constructive algorithms;interactive;math;sortings;Greedy Sorting
257,1118-F1,-0.77777778,1800,graphs;trees;Tree DFS
258,1684-B,-3.00000000,800,constructive algorithms;math;GCD;Simulation
259,877-A,-2.33333333,1100,implementation;strings;String Matching
260,650-A,-1.66666667,1400,data structures;geometry;math;Hash Map
261,275-A,-2.77777778,900,implementation
262,1315-B,-1.88888889,1300,binary search;dp;greedy;strings;Binary Search on Answer
263,932-B,-1.88888889,1300,binary search;data structures;graphs;Prefix Sum;Recursion
264,1328-C,-2.11111111,1200,greedy;implementation;Simulation
265,1922-B,-2.11111111,1200,combinatorics;constructive algorithms;math;sortings;Combinations;Coordinate Compression
266,1535-C,-1.66666667,1400,binary search;dp;greedy;implementation;strings;two pointers;Two Pointers on Sorted Array
267,1766-B,-2.55555556,1000,implementation
268,1582-B,-2.77777778,900,combinatorics;math;Combinations
269,1907-D,-1.66666667,1400,binary search;constructive algorithms;Binary Search on Answer;Simulation
270,698-A,-1.66666667,1400,dp;1D DP
271,698-B,-1.00000000,1700,constructive algorithms;dsu;graphs;trees
272,1862-D,-1.88888889,1300,binary search;combinatorics;constructive algorithms;math;Binary Search on Answer;Combinations
273,1037-D,-1.00000000,1700,graphs;shortest paths;trees;BFS
274,295-B,-1.00000000,1700,dp;graphs;shortest paths;Floyd-Warshall
275,1801-B,-0.77777778,1800,data structures;greedy;sortings;Custom Comparator Sorting
276,1324-E,-1.00000000,1700,dp;implementation;2D DP
277,1772-D,-1.66666667,1400,constructive algorithms;math
278,616-E,0.11111111,2200,implementation;math;number theory;Divisors;Modular Arithmetic
279,1842-C,-1.44444444,1500,dp;1D DP
280,120-D,-1.66666667,1400,brute force;Brute Force Enumeration
281,1873-H,-1.00000000,1700,dsu;games;graphs;shortest paths;trees
282,1792-A,-3.00000000,800,greedy;sortings
283,1792-B,-2.11111111,1200,greedy;math
284,1796-B,-2.55555556,1000,implementation;strings;String Matching
285,1829-D,-2.55555556,1000,brute force;dp;graphs;implementation;Recursion
286,708-A,-2.11111111,1200,constructive algorithms;greedy;implementation;strings;Greedy Sorting
287,1831-A,-3.00000000,800,constructive algorithms
288,1831-B,-2.55555556,1000,constructive algorithms;greedy
289,1825-B,-2.55555556,1000,greedy;math;Greedy Sorting
290,1797-B,-2.33333333,1100,constructive algorithms;greedy
291,1829-F,-1.88888889,1300,graphs;math;Graph Representation
292,1800-E2,-1.44444444,1500,brute force;constructive algorithms;dsu;graphs;greedy;strings
293,1800-E1,-1.66666667,1400,brute force;constructive algorithms;dsu;graphs;greedy;strings
294,1829-G,-1.22222222,1600,data structures;dp;implementation;math
295,1846-E1,-1.88888889,1300,brute force;implementation;math;Brute Force Enumeration
296,1917-B,-2.33333333,1100,brute force;combinatorics;data structures;dp;strings
297,1922-C,-1.88888889,1300,greedy;implementation;math;Prefix Sum
298,1830-A,-1.66666667,1400,dp;graphs;trees;Tree DFS;Tree DP
299,1251-C,-1.22222222,1600,greedy;two pointers;Two Pointers on Sorted Array
300,617-B,-1.88888889,1300,combinatorics;Combinations
301,1968-C,-2.55555556,1000,constructive algorithms;number theory
302,766-B,-2.55555556,1000,constructive algorithms;geometry;greedy;math;number theory;sortings
303,1968-D,-1.88888889,1300,brute force;games;graphs;greedy;math
304,1981-B,-1.88888889,1300,bitmasks;math;Bitmask Enumeration
305,1216-C,-1.00000000,1700,geometry;math
306,863-B,-1.44444444,1500,brute force;greedy;sortings;Greedy Sorting
307,295-A,-1.66666667,1400,data structures;implementation;Difference Array
308,203-C,-1.66666667,1400,greedy;sortings;Greedy Sorting
309,664-A,-3.00000000,800,math;number theory;GCD
310,1846-D,-2.11111111,1200,constructive algorithms;geometry;math;Polygon Area
311,847-A,-1.44444444,1500,implementation;Simulation
312,862-B,-1.88888889,1300,graphs;trees;Bipartite Graph Check;DFS
313,632-C,-1.00000000,1700,sortings;strings;Greedy Sorting
314,1872-A,-3.00000000,800,brute force;greedy;math
315,1872-B,-2.77777778,900,greedy;implementation
316,1872-D,-2.11111111,1200,math;GCD;LCM
317,1872-F,-0.77777778,1800,dsu;graphs;implementation;math
318,1857-A,-3.00000000,800,greedy;math;Modular Arithmetic
319,1857-F,-1.22222222,1600,binary search;data structures;math;Hash Map
320,1847-C,-1.66666667,1400,bitmasks;brute force;dp;greedy;1D DP
321,1847-F,0.77777778,2500,binary search;bitmasks;data structures;graphs;greedy;math;sortings
322,1809-B,-2.55555556,1000,binary search;greedy;math;Binary Search on Answer
323,1809-C,-1.44444444,1500,constructive algorithms;greedy;math;Recursion
324,1886-C,-1.22222222,1600,implementation;strings;Prefix Sum;Simulation
325,1863-D,-1.66666667,1400,constructive algorithms;greedy;State Simulation
326,1863-C,-2.33333333,1100,implementation;math;Modular Arithmetic
327,1872-E,-1.44444444,1500,binary search;bitmasks;data structures;dp;Prefix Sum
328,1978-E,-0.33333333,2000,brute force;data structures;dp;greedy;implementation
329,1582-E,-0.33333333,2000,binary search;data structures;dp;greedy;math;Knapsack
330,1783-E,0.33333333,2300,brute force;data structures;math;number theory;Difference Array
331,1949-G,0.33333333,2300,graphs;greedy
332,1838-D,-0.11111111,2100,data structures;greedy;strings;Ordered Set
333,734-A,-3.00000000,800,implementation;strings;Simulation
334,59-A,-3.00000000,800,implementation;strings;Simulation
335,427-A,-3.00000000,800,implementation
336,731-A,-3.00000000,800,implementation;strings;Simulation
337,268-A,-3.00000000,800,brute force
338,265-A,-3.00000000,800,implementation
339,294-A,-3.00000000,800,implementation;math;Simulation
340,709-A,-2.77777778,900,implementation
341,71-A,-3.00000000,800,strings
342,766-A,-2.55555556,1000,constructive algorithms;strings;String Matching
343,767-A,-2.33333333,1100,data structures;implementation
344,474-A,-2.77777778,900,implementation
345,318-A,-2.77777778,900,math
346,469-A,-3.00000000,800,greedy;implementation
347,742-A,-2.55555556,1000,implementation;math;number theory;Modular Arithmetic
348,80-A,-3.00000000,800,brute force;Brute Force Enumeration
349,270-A,-2.33333333,1100,geometry;implementation;math
350,143-A,-2.55555556,1000,brute force;math;Brute Force Enumeration
351,382-A,-2.33333333,1100,greedy;implementation
352,699-A,-2.55555556,1000,implementation
353,298-A,-1.88888889,1300,greedy;implementation
354,16-B,-2.77777778,900,greedy;implementation;sortings;Greedy Sorting;Simulation
355,6-B,-2.33333333,1100,implementation;Simulation
356,451-B,-1.88888889,1300,implementation;sortings
357,810-B,-1.88888889,1300,greedy;sortings;Greedy Sorting
358,688-B,-2.55555556,1000,constructive algorithms;math
359,88-B,-1.44444444,1500,implementation
360,469-B,-1.88888889,1300,implementation
361,714-B,-2.11111111,1200,implementation;sortings;Simulation
362,69-A,-2.55555556,1000,implementation;math;Simulation
363,41-A,-3.00000000,800,implementation;strings
364,152-B,-1.88888889,1300,binary search;implementation;Longest Increasing Subsequence
365,1809-A,-3.00000000,800,implementation
366,617-A,-3.00000000,800,math;Simulation
367,255-A,-3.00000000,800,implementation
368,61-A,-3.00000000,800,implementation
369,721-A,-3.00000000,800,implementation
370,376-B,-1.88888889,1300,implementation
371,352-B,-1.88888889,1300,implementation;sortings
372,711-A,-3.00000000,800,brute force;implementation;Brute Force Enumeration
373,22-A,-3.00000000,800,brute force
374,236-B,-1.88888889,1300,implementation;number theory;Divisors
375,514-B,-1.66666667,1400,brute force;data structures;geometry;implementation;math;Line Intersection
376,271-A,-3.00000000,800,brute force
377,330-A,-3.00000000,800,brute force;implementation
378,16-A,-3.00000000,800,implementation;Simulation
379,248-A,-3.00000000,800,implementation
380,363-A,-3.00000000,800,implementation
381,202-A,-3.00000000,800,binary search;bitmasks;brute force;greedy;implementation;strings;Palindrome Detection
382,451-A,-2.77777778,900,implementation
383,460-A,-2.77777778,900,brute force;implementation;math
384,670-A,-2.77777778,900,brute force;constructive algorithms;greedy;math;Modular Arithmetic
385,244-A,-2.77777778,900,implementation
386,501-A,-2.77777778,900,implementation
387,94-A,-2.77777778,900,implementation;strings;String Matching
388,373-A,-2.77777778,900,implementation
389,146-A,-3.00000000,800,implementation;Brute Force Enumeration;Simulation
390,58-A,-2.55555556,1000,greedy;strings
391,387-A,-2.77777778,900,implementation
392,735-A,-3.00000000,800,implementation;strings
393,1829-A,-3.00000000,800,implementation;strings;Simulation;String Matching
394,1829-B,-3.00000000,800,implementation;Simulation
395,1857-B,-2.33333333,1100,greedy;implementation;math;Simulation
396,1872-C,-2.33333333,1100,math;number theory;GCD
397,1902-A,-3.00000000,800,constructive algorithms
398,1902-B,-2.33333333,1100,binary search;brute force;greedy;Binary Search on Answer
399,1917-A,-3.00000000,800,constructive algorithms;math
