student_id,weak_kcs,n_weak,weakest_5
user10153,Max Flow;flows,2,Distance Between Points;geometry;Max Flow;flows;Priority Queue
user10155,Distance Between Points;flows;geometry;graph matchings,4,flows;geometry;graph matchings;Distance Between Points;Priority Queue
user10159,Bitmask Enumeration;Combinations;Fast Exponentiation;Permutations;Prime Sieve;binary search;bitmasks;brute force;combinatorics;constructive algorithms;games;greedy;implementation;math;number theory;probabilities,16,number theory;games;math;bitmasks;Prime Sieve
user10183,flows,1,flows;dsu;shortest paths;Connected Components;DFS
user10206,,0,2D DP;KMP;hashing;fft;graphs
user10219,,0,flows;geometry;trees;Tree DP;dp
user10224,,0,Dijkstra;Monotonic Queue;shortest paths;Tree DFS;Tree DP
user10234,Backtracking;Brute Force Enumeration;Hash Map;Meet-in-the-middle;Segment Tree;Simulation;Sliding Window;State Simulation;Tree DP;binary search;brute force;constructive algorithms;data structures;divide and conquer;dp;greedy;implementation;interactive;string suffix structures;trees;two pointers,21,data structures;two pointers;Hash Map;Brute Force Enumeration;dp
user1024,Priority Queue;Topological Sort;flows;graph matchings,4,geometry;graph matchings;flows;Priority Queue;Topological Sort
user10245,,0,Priority Queue;flows;dsu;shortest paths;graph matchings
user10254,brute force;combinatorics;constructive algorithms;data structures;graphs;greedy;implementation;math;number theory;shortest paths;trees;two pointers,12,graphs;brute force;number theory;implementation;math
user10270,dsu,1,geometry;Connected Components;dsu;BFS;Graph Representation
user10273,Line Intersection;Max Flow;flows;geometry;graph matchings,5,Line Intersection;geometry;graph matchings;Max Flow;Priority Queue
user10285,Bipartite Graph Check;Distance Between Points;Priority Queue;geometry;graph matchings,5,Distance Between Points;geometry;graph matchings;flows;Priority Queue
user10287,geometry,1,geometry;Interval DP;Connected Components;dsu;shortest paths
user10307,DFS;Max Flow;Priority Queue;dsu;flows;geometry;graph matchings,7,Polygon Area;Distance Between Points;geometry;graph matchings;Max Flow
user10314,geometry,1,geometry;Topological Sort;DP on DAG;dsu;DFS
user10357,Connected Components;DFS;dsu;geometry,4,Line Intersection;Distance Between Points;geometry;Connected Components;DFS
user1037,Max Flow;flows;graph matchings,3,geometry;Max Flow;graph matchings;flows;Bipartite Graph Check
user10371,,0,dsu;graphs;trees;2D DP;Binary Search on Array
user10373,,0,geometry;dsu;Graph Representation;Tree DFS;Tree DP
user10381,Dijkstra;Priority Queue,2,graph matchings;Dijkstra;flows;Priority Queue;Bipartite Graph Check
user10383,geometry;graph matchings,2,graph matchings;geometry;flows;Distance Between Points;Priority Queue
user10384,DFS;Distance Between Points;dsu;geometry,4,Distance Between Points;geometry;dsu;Connected Components;DFS
user10403,Binary Search on Array;Bitmask Enumeration;Brute Force Enumeration;binary search;bitmasks;brute force;constructive algorithms;data structures;divide and conquer;dp;games;greedy;implementation;math;number theory;probabilities;sortings;strings;trees;two pointers,20,brute force;greedy;bitmasks;binary search;divide and conquer
user10411,Bipartite Graph Check;Dijkstra;Priority Queue;geometry,4,Orientation Test;geometry;graph matchings;Dijkstra;Priority Queue
user10421,,0,geometry;Priority Queue;dsu;graphs;trees
user10423,,0,hashing;Combinations;dp;combinatorics;binary search
user10426,Distance Between Points;Topological Sort;flows;geometry;graph matchings,5,Distance Between Points;geometry;graph matchings;Dijkstra;flows
user10428,Activity Selection;Brute Force Enumeration;binary search;bitmasks;brute force;constructive algorithms;divide and conquer;flows;games;greedy;implementation;interactive;shortest paths;sortings;two pointers,15,brute force;greedy;constructive algorithms;implementation;binary search
user10442,,0,Topological Sort;dsu;2D DP;Strongly Connected Components;graphs
user10464,Brute Force Enumeration;Multiset;Simulation;brute force;constructive algorithms;data structures;divide and conquer;flows;implementation;shortest paths;trees,11,constructive algorithms;implementation;Brute Force Enumeration;data structures;Simulation
user10468,flows;geometry,2,flows;geometry;shortest paths;trees;Orientation Test
user10484,Prime Sieve,1,Prime Sieve;Difference Array;number theory;Prime Factorization;math
user10493,BFS;Connected Components;Convex Hull;DFS;Dijkstra;Interval DP;Max Flow;Topological Sort;dsu;flows;geometry;graph matchings,12,Polygon Area;Orientation Test;Distance Between Points;Convex Hull;Min Cut
user10504,Distance Between Points;Line Intersection;Max Flow;Priority Queue;flows;geometry;graph matchings,7,Line Intersection;Polygon Area;Distance Between Points;geometry;Max Flow
user1051,Binary Search on Answer;Binary Search on Array;Fenwick Tree;binary search;data structures;greedy;sortings;string suffix structures;strings;two pointers,10,binary search;two pointers;Binary Search on Array;Fenwick Tree;data structures
user10512,,0,data structures;games;dsu;number theory;bitmasks
user10526,Priority Queue;geometry;graph matchings,3,Polygon Area;Distance Between Points;geometry;graph matchings;flows
user10534,geometry,1,Polygon Area;Distance Between Points;geometry;dsu;Interval DP
user10539,Min Cut;flows;geometry;graph matchings,4,Min Cut;geometry;graph matchings;Dijkstra;flows
user10560,,0,binary search;trees;geometry;ternary search;divide and conquer
user10563,Bipartite Graph Check;Max Flow;Orientation Test;flows;geometry;graph matchings,6,Orientation Test;geometry;Max Flow;graph matchings;Shortest Path in DAG
user10569,Dijkstra;Distance Between Points;flows;geometry;graph matchings,5,Polygon Area;Orientation Test;Distance Between Points;geometry;Max Flow
user10571,geometry,1,Polygon Area;Distance Between Points;geometry;Priority Queue;Bipartite Graph Check
user10578,Bipartite Graph Check;Distance Between Points;geometry;graph matchings,4,Polygon Area;Distance Between Points;geometry;graph matchings;Bipartite Graph Check
user10589,Binary Lifting;Tree DFS;Tree DP;brute force;dp;shortest paths;trees,7,divide and conquer;dp;shortest paths;trees;Tree DP
user10604,geometry,1,Polygon Area;geometry;shortest paths;dsu;DFS
user10608,Binary Search on Answer;Binary Search on Array;Two Pointers on Sorted Array;binary search;brute force;constructive algorithms;data structures;greedy;implementation;sortings;strings;ternary search;trees;two pointers,14,binary search;two pointers;greedy;sortings;Binary Search on Array
user10624,binary search;bitmasks;brute force;combinatorics;constructive algorithms;data structures;divide and conquer;flows;games;graphs;greedy;implementation;math;number theory;shortest paths;string suffix structures;trees;two pointers,18,brute force;games;implementation;binary search;number theory
user10631,Dijkstra;Max Flow;Priority Queue;dsu;flows;geometry;graph matchings,7,Orientation Test;Distance Between Points;geometry;Max Flow;graph matchings
user10632,,0,geometry;flows;graphs;Stack;trees
user10639,,0,Max Flow;flows;dsu;shortest paths;Connected Components
user10641,Max Flow;flows;geometry;graph matchings,4,Polygon Area;geometry;Max Flow;graph matchings;flows
user10653,Bitmask Enumeration;bitmasks;brute force;data structures;dp,5,bitmasks;brute force;Bitmask Enumeration;dp;data structures
user1066,Dijkstra;geometry,2,Distance Between Points;geometry;Dijkstra;Shortest Path in DAG;dsu
user10660,shortest paths,1,shortest paths;flows;divide and conquer;graphs;trees
user1067,Dijkstra;Distance Between Points;geometry;graph matchings;shortest paths,5,flows;Max Flow;Orientation Test;geometry;graph matchings
user10682,Binary Search on Answer;Binary Search on Array;Greedy Sorting;binary search;brute force;data structures;geometry;greedy;implementation;sortings;strings;trees;two pointers,13,two pointers;binary search;sortings;greedy;Binary Search on Array
user10684,,0,trees;divide and conquer;brute force;data structures;binary search
user10687,geometry,1,geometry;Dijkstra;Priority Queue;dsu;DFS
user10688,Bipartite Graph Check;Max Flow;Priority Queue;flows;geometry;graph matchings,6,geometry;Max Flow;graph matchings;flows;Priority Queue
user10693,Fenwick Tree;Segment Tree;brute force;data structures;divide and conquer;dp;trees;two pointers,8,data structures;dp;trees;divide and conquer;Ordered Set
user10694,Bitmask Enumeration;Divisors;Fast Exponentiation;GCD;Modular Arithmetic;Prime Factorization;Prime Sieve;bitmasks;combinatorics;dsu;games;math;number theory,13,math;Prime Sieve;number theory;Prime Factorization;Fast Exponentiation
user10696,Priority Queue;dsu;flows,3,geometry;flows;Priority Queue;Topological Sort;dsu
user10697,geometry,1,Polygon Area;Distance Between Points;geometry;flows;dsu
user1070,Bipartite Graph Check;Max Flow;Priority Queue;dsu;flows;geometry;graph matchings,7,Line Intersection;Distance Between Points;Dijkstra;graph matchings;Max Flow
user10702,,0,Polygon Area;geometry;shortest paths;dsu;hashing
user10706,Line Intersection;geometry,2,Line Intersection;geometry;Dijkstra;Bipartite Graph Check;DFS
user1075,Max Flow;Orientation Test;Priority Queue;flows;geometry,5,Polygon Area;Orientation Test;geometry;Max Flow;graph matchings
user10753,Activity Selection;Binary Search on Answer;Binary Search on Array;Coordinate Compression;Custom Comparator Sorting;Fenwick Tree;Greedy Sorting;Hash Map;Ordered Set;Sliding Window;Two Pointers on Sorted Array;binary search;brute force;data structures;geometry;greedy;sortings;string suffix structures;strings;ternary search;trees;two pointers,22,binary search;two pointers;sortings;Binary Search on Array;string suffix structures
user10767,,0,geometry;Distance Between Points;Tree DFS;trees;graphs
user1077,Bipartite Graph Check;Dijkstra;Distance Between Points;Orientation Test;geometry;graph matchings,6,Line Intersection;Orientation Test;Distance Between Points;geometry;graph matchings
user1080,Bipartite Graph Check;Priority Queue;geometry,3,Distance Between Points;geometry;graph matchings;Dijkstra;Priority Queue
user10805,,0,divide and conquer;trees;flows;shortest paths;dp
user10806,geometry,1,geometry;shortest paths;Tree DFS;graphs;Graph Representation
user10811,DFS;Distance Between Points;Interval DP;dsu;geometry,5,Distance Between Points;geometry;graph matchings;Priority Queue;DFS
user10819,DFS;Interval DP;dsu;flows;graph matchings,5,Distance Between Points;geometry;graph matchings;Max Flow;Dijkstra
user1082,Bipartite Graph Check;Convex Hull;Dijkstra;Max Flow;Priority Queue;flows;geometry;graph matchings,8,Line Intersection;Polygon Area;Convex Hull;geometry;Max Flow
user10845,Priority Queue;flows;geometry;graph matchings,4,Distance Between Points;geometry;graph matchings;Dijkstra;flows
user10851,binary search;brute force;divide and conquer;dp;graphs;greedy;shortest paths;string suffix structures;trees;two pointers,10,divide and conquer;brute force;trees;binary search;greedy
user10868,,0,dsu;Difference Array;graphs;Coordinate Compression;Hash Map
user10870,Convex Hull;Line Intersection;Priority Queue;geometry,4,Line Intersection;Distance Between Points;Convex Hull;geometry;graph matchings
user10881,,0,dsu;trees;graphs;dp;Prefix Sum
user1089,BFS;Priority Queue;Tree DFS;divide and conquer;graphs;shortest paths;trees,7,graphs;shortest paths;Connected Components;divide and conquer;BFS
user10899,Distance Between Points;Line Intersection;geometry,3,Line Intersection;geometry;Distance Between Points;flows;Priority Queue
user10902,Distance Between Points;Max Flow;Priority Queue;flows;geometry;graph matchings,6,Max Flow;geometry;Distance Between Points;graph matchings;flows
user10913,Binary Search on Answer;Binary Search on Array;Hash Map;binary search;brute force;data structures;greedy;sortings;strings;trees;two pointers,11,two pointers;binary search;data structures;Hash Map;Binary Search on Array
user10915,dsu,1,Distance Between Points;Convex Hull;geometry;graph matchings;dsu
user10919,Max Flow;flows;geometry;graph matchings,4,Polygon Area;Max Flow;graph matchings;geometry;flows
user10922,Dijkstra;Topological Sort;flows;geometry;graph matchings,5,Convex Hull;geometry;Max Flow;graph matchings;Dijkstra
user10946,,0,binary search;trees;ternary search;divide and conquer;Binary Search on Answer
user10947,,0,dsu;DFS;Edit Distance;Cycle Detection;shortest paths
user1095,Priority Queue;geometry,2,Polygon Area;geometry;Distance Between Points;flows;Priority Queue
user10955,Meet-in-the-middle;divide and conquer;dp,3,divide and conquer;dp;Meet-in-the-middle;trees;brute force
user10961,Bipartite Graph Check;Priority Queue;flows;geometry;graph matchings,5,Line Intersection;Distance Between Points;geometry;Max Flow;graph matchings
user10982,BFS;Connected Components;Max Flow;dsu;flows;geometry,6,Polygon Area;Distance Between Points;geometry;Max Flow;Dijkstra
user10998,,0,flows;Max Flow;Priority Queue;Dijkstra;shortest paths
user11003,geometry,1,geometry;flows;dsu;Tree Diameter;Monotonic Stack
user11020,geometry,1,geometry;flows;Max Flow;Distance Between Points;Dijkstra
user11030,Binary Search on Answer;Binary Search on Array;Bitmask Enumeration;binary search;bitmasks;brute force;combinatorics;games;greedy;implementation;math;number theory;sortings;two pointers,14,binary search;brute force;games;bitmasks;greedy
user11062,Distance Between Points;geometry,2,Polygon Area;geometry;Distance Between Points;graph matchings;flows
user1108,geometry,1,geometry;flows;dsu;Connected Components;Tree DFS
user11089,Dijkstra;Priority Queue;Topological Sort;geometry,4,Orientation Test;graph matchings;geometry;Dijkstra;0-1 BFS
user11110,Dijkstra;Max Flow;flows;graph matchings,4,Max Flow;graph matchings;Dijkstra;Shortest Path in DAG;flows
user11137,geometry,1,geometry;Shortest Path in DAG;dsu;DFS;Connected Components
user11138,Bitmask Enumeration;Combinations;Difference Array;Divisors;Fast Exponentiation;GCD;Modular Arithmetic;bitmasks;combinatorics;games;math;number theory,12,math;Fast Exponentiation;number theory;Permutations;Prime Factorization
user11139,Dijkstra;flows;geometry,3,geometry;Max Flow;Dijkstra;flows;Topological Sort
user11149,binary search;bitmasks;brute force;trees,4,brute force;binary search;bitmasks;trees;divide and conquer
user11153,binary search;brute force;divide and conquer;dp;shortest paths;trees,6,divide and conquer;trees;brute force;dp;shortest paths
user11154,,0,geometry;graph matchings;Priority Queue;flows;dsu
user11164,,0,flows;Max Flow;Dijkstra;Priority Queue;dsu
user1118,Combinations;Permutations;Stack;dsu;math,5,Difference Array;Stack;dsu;math;Permutations
user11185,Bitmask Enumeration;Combinations;Expected Value;bitmasks;combinatorics;constructive algorithms;games;math;number theory;probabilities,10,games;combinatorics;Permutations;math;probabilities
user11188,Dijkstra;flows;geometry;graph matchings,4,Polygon Area;Distance Between Points;geometry;graph matchings;Dijkstra
user11189,BFS;DFS;Dijkstra;Distance Between Points;Graph Representation;Interval DP;Orientation Test;Priority Queue;dsu;geometry;graph matchings,11,Polygon Area;Orientation Test;Distance Between Points;Convex Hull;geometry
user11192,brute force;data structures;divide and conquer;flows;graphs;implementation;shortest paths;trees,8,divide and conquer;brute force;trees;shortest paths;flows
user11199,,0,Connected Components;Graph Representation;Tree DP;Suffix Automaton;hashing
user112,geometry,1,geometry;graph matchings;flows;Topological Sort;dsu
user1120,,0,trees;dsu;dp;graphs;data structures
user11215,Distance Between Points;Max Flow;Priority Queue;flows;geometry;graph matchings,6,Polygon Area;Distance Between Points;geometry;Max Flow;graph matchings
user11218,dsu,1,Orientation Test;geometry;Bipartite Graph Check;Priority Queue;DFS
user11225,,0,Distance Between Points;geometry;flows;Priority Queue;dsu
user1124,Priority Queue;Shortest Path in DAG;flows;geometry,4,Convex Hull;geometry;graph matchings;Dijkstra;Shortest Path in DAG
user11249,,0,flows;Priority Queue;Max Flow;dsu;shortest paths
user11250,DFS;Dijkstra;Topological Sort;dsu;flows;geometry;graph matchings,7,Polygon Area;geometry;graph matchings;Max Flow;Dijkstra
user11253,,0,flows;Binary Lifting;geometry;trees;Priority Queue
user11267,BFS;Bipartite Graph Check;Connected Components;Convex Hull;DFS;Dijkstra;Distance Between Points;Interval DP;Max Flow;Orientation Test;Priority Queue;dsu;flows;geometry;graph matchings,15,Line Intersection;Polygon Area;Orientation Test;Distance Between Points;Convex Hull
user11268,flows;graph matchings,2,graph matchings;flows;Interval DP;dsu;shortest paths
user1128,Dijkstra;Line Intersection;Max Flow;Priority Queue;flows;geometry;graph matchings,7,Line Intersection;geometry;Max Flow;graph matchings;Dijkstra
user11287,Dijkstra;Max Flow;Min Cut;flows;geometry;graph matchings,6,Line Intersection;Min Cut;Distance Between Points;geometry;Max Flow
user1129,DFS;Graph Representation;dsu;flows;geometry,5,Polygon Area;Distance Between Points;geometry;Bipartite Graph Check;Priority Queue
user11301,flows,1,Dijkstra;flows;dsu;2D DP;shortest paths
user11305,Binary Search on Answer;Binary Search on Array;Bitmask Enumeration;binary search;bitmasks;brute force;data structures;divide and conquer;games;graphs;greedy;implementation;math;number theory;probabilities;sortings;string suffix structures;strings;trees;two pointers,20,binary search;two pointers;greedy;brute force;games
user11312,geometry,1,Orientation Test;Distance Between Points;geometry;graph matchings;Priority Queue
user11313,geometry,1,geometry;dsu;shortest paths;Connected Components;Monotonic Stack
user11319,BFS;Dijkstra;Interval DP;Max Flow;Orientation Test;Priority Queue;dsu;flows;geometry;graph matchings,10,Orientation Test;geometry;graph matchings;Max Flow;Dijkstra
user11338,Connected Components;Interval DP;dsu;flows;geometry;graph matchings,6,Polygon Area;Distance Between Points;geometry;graph matchings;Shortest Path in DAG
user1134,Brute Force Enumeration;Simulation;State Simulation;brute force;constructive algorithms;data structures;divide and conquer;dp;implementation;interactive;trees,11,implementation;brute force;constructive algorithms;Brute Force Enumeration;divide and conquer
user1136,,0,geometry;dsu;Interval DP;DFS;Graph Representation
user11371,,0,Dijkstra;Connected Components;shortest paths;String Hashing;hashing
user11382,Connected Components;DFS;Dijkstra;Distance Between Points;Interval DP;Priority Queue;dsu;flows;geometry;graph matchings,10,Distance Between Points;Min Cut;geometry;graph matchings;Dijkstra
user11397,Priority Queue,1,Priority Queue;dsu;Max Flow;flows;Queue
user11411,Dijkstra;Priority Queue;flows;geometry;graph matchings,5,geometry;Max Flow;graph matchings;Dijkstra;flows
user11418,Monotonic Queue;Orientation Test;Priority Queue;flows;geometry;graph matchings,6,Orientation Test;Distance Between Points;geometry;graph matchings;flows
user11423,Bipartite Graph Check;Distance Between Points;Priority Queue;flows;geometry;graph matchings,6,Polygon Area;Distance Between Points;geometry;graph matchings;Dijkstra
user11427,divide and conquer;graphs;shortest paths;trees,4,divide and conquer;trees;shortest paths;graphs;flows
user11446,,0,dsu;trees;graphs;dp;Binary Search on Array
user1145,Fenwick Tree;binary search;data structures;two pointers,4,binary search;two pointers;Fenwick Tree;data structures;Binary Search on Array
user11469,Brute Force Enumeration;Max Flow;Tree DFS;binary search;brute force;constructive algorithms;data structures;divide and conquer;dp;flows;graphs;greedy;implementation;shortest paths;string suffix structures;strings;trees;two pointers,18,divide and conquer;trees;flows;shortest paths;brute force
user11476,Binary Search on Array;Convex Hull;Distance Between Points;binary search;brute force;data structures;divide and conquer;games;geometry;graphs;greedy;number theory;sortings;trees;two pointers,15,binary search;geometry;Binary Search on Array;two pointers;sortings
user11485,Bellman-Ford;Bipartite Graph Check;Dijkstra;Distance Between Points;Max Flow;flows;geometry;graph matchings,8,Orientation Test;Min Cut;Distance Between Points;geometry;Max Flow
user11488,Convex Hull;Dijkstra;flows;geometry;graph matchings,5,Convex Hull;geometry;graph matchings;Dijkstra;flows
user1149,geometry;graph matchings,2,geometry;graph matchings;flows;Bipartite Graph Check;shortest paths
user11507,,0,Priority Queue;DFS;dsu;trees;graphs
user11510,,0,Dijkstra;graph matchings;flows;shortest paths;Interval DP
user11523,2-sat;BFS;Connected Components;DFS;Priority Queue;dsu;flows;geometry;graph matchings,9,Polygon Area;geometry;graph matchings;Max Flow;Dijkstra
user11526,Simulation;binary search;brute force;constructive algorithms;data structures;greedy;implementation;sortings;two pointers,9,two pointers;binary search;data structures;sortings;greedy
user11534,,0,shortest paths;hashing;graphs;Stack;1D DP
user11536,Bipartite Graph Check;flows;geometry;graph matchings,4,geometry;Max Flow;graph matchings;Dijkstra;flows
user11552,,0,data structures;trees;Ordered Set;Hash Map;binary search
user11574,Binary Lifting;brute force;data structures;dp;graphs;trees;two pointers,7,trees;Binary Lifting;data structures;dp;graphs
user11589,,0,Connected Components;DFS;dsu;Knapsack;Stack
user11593,Bitmask Enumeration;bitmasks,2,bitmasks;Bitmask Enumeration;brute force;games;Bitmask DP
user11596,Dijkstra;Distance Between Points;Line Intersection;Priority Queue;Shortest Path in DAG;flows;geometry;graph matchings,8,Line Intersection;Orientation Test;Distance Between Points;geometry;graph matchings
user11598,DFS,1,DFS;dsu;2D DP;Suffix Automaton;Tree DP
user11601,Bitmask DP;Bitmask Enumeration;Meet-in-the-middle;bitmasks;brute force;divide and conquer;dp,7,bitmasks;brute force;divide and conquer;Meet-in-the-middle;Bitmask Enumeration
user11628,Bipartite Graph Check;Connected Components;DFS;Distance Between Points;Topological Sort;flows;geometry;graph matchings,8,Line Intersection;Polygon Area;Orientation Test;Min Cut;Distance Between Points
user11638,,0,graphs;Hash Map;Modular Combinations;dp;String Matching
user11639,,0,graph matchings;Interval DP;dsu;graphs;1D DP
user11642,,0,Priority Queue;shortest paths;trees;dsu;data structures
user11646,Dijkstra;Line Intersection;Max Flow;Priority Queue;Topological Sort;flows;geometry;graph matchings,8,Line Intersection;geometry;Max Flow;graph matchings;Dijkstra
user1165,,0,trees;divide and conquer;shortest paths;flows;data structures
user11661,Activity Selection;Binary Search on Answer;Binary Search on Array;Bitmask Enumeration;Greedy Sorting;Hash Map;Sliding Window;Two Pointers on Sorted Array;binary search;bitmasks;brute force;data structures;games;greedy;implementation;math;number theory;probabilities;sortings;string suffix structures;strings;trees;two pointers,23,binary search;greedy;two pointers;string suffix structures;sortings
user11665,geometry,1,geometry;flows;Priority Queue;shortest paths;Interval DP
user11673,Activity Selection;Binary Search on Answer;Binary Search on Array;Custom Comparator Sorting;Fenwick Tree;Greedy Sorting;Hash Map;Segment Tree;Two Pointers on Sorted Array;binary search;data structures;geometry;greedy;sortings;string suffix structures;strings;ternary search;two pointers,18,two pointers;sortings;binary search;Fenwick Tree;Two Pointers on Sorted Array
user11684,flows;geometry;graph matchings,3,geometry;Max Flow;graph matchings;Dijkstra;flows
user11685,Orientation Test;geometry,2,Orientation Test;geometry;graph matchings;dsu;DFS
user11694,flows,1,flows;Polygon Area;Dijkstra;graph matchings;geometry
user11703,,0,dsu;Tree DP;Suffix Automaton;hashing;graphs
user11706,Bipartite Graph Check;Max Flow;Polygon Area;flows;geometry,5,Polygon Area;Distance Between Points;geometry;Max Flow;graph matchings
user11716,Dijkstra;Distance Between Points;Priority Queue;flows;geometry;graph matchings,6,Polygon Area;geometry;Distance Between Points;graph matchings;Dijkstra
user11717,,0,flows;Binary Lifting;trees;Hash Map;shortest paths
user1172,BFS;Graph Representation;divide and conquer;graphs;shortest paths,5,shortest paths;graphs;DFS;Connected Components;Graph Representation
user11721,Dijkstra;Distance Between Points;Line Intersection;Max Flow;Priority Queue;flows;geometry;graph matchings,8,Line Intersection;Distance Between Points;geometry;Max Flow;graph matchings
user11731,,0,ternary search;trees;binary search;bitmasks;Bitmask Enumeration
user11732,Bipartite Graph Check;Dijkstra;Distance Between Points;geometry,4,Line Intersection;Polygon Area;Distance Between Points;geometry;Max Flow
user11735,Binary Lifting;binary search;brute force;data structures;divide and conquer;dp;flows;graphs;greedy;implementation;shortest paths;string suffix structures;trees;two pointers,14,divide and conquer;graphs;trees;shortest paths;flows
user11737,DFS;geometry,2,Polygon Area;Distance Between Points;geometry;DFS;BFS
user11745,,0,shortest paths;trees;graphs;probabilities;dsu
user11750,geometry,1,geometry;Binary Lifting;dsu;Tree DFS;Tree DP
user11761,Bipartite Graph Check;Cycle Detection;DFS;Dijkstra;Max Flow;Orientation Test;Priority Queue;Topological Sort;dsu;flows;geometry;graph matchings,12,Orientation Test;Convex Hull;geometry;graph matchings;Max Flow
user11764,Binary Search on Array;Greedy Sorting;binary search;brute force;constructive algorithms;data structures;dp;graphs;greedy;implementation;number theory;sortings;strings;two pointers,14,greedy;brute force;binary search;two pointers;sortings
user11766,Max Flow;Priority Queue;flows;geometry;graph matchings,5,Polygon Area;geometry;Max Flow;graph matchings;flows
user11771,2-sat;Connected Components;DFS;Max Flow;dsu;flows;geometry;graph matchings,8,Polygon Area;geometry;Max Flow;graph matchings;Dijkstra
user1181,Dijkstra;Shortest Path in DAG;Topological Sort;flows;geometry,5,geometry;graph matchings;Dijkstra;Shortest Path in DAG;flows
user11869,Shortest Path in DAG;flows;geometry,3,geometry;Max Flow;Dijkstra;Shortest Path in DAG;flows
user11875,Binary Search on Answer;Brute Force Enumeration;Greedy Sorting;Simulation;binary search;brute force;constructive algorithms;data structures;divide and conquer;greedy;hashing;implementation;strings;trees;two pointers,15,binary search;two pointers;strings;greedy;data structures
user11885,Distance Between Points;geometry,2,Distance Between Points;geometry;Priority Queue;shortest paths;dsu
user1189,binary search;brute force;constructive algorithms;divide and conquer;graphs;greedy;implementation;shortest paths;sortings;trees,10,divide and conquer;binary search;graphs;trees;shortest paths
user11891,BFS;dsu;flows;geometry;graph matchings,5,Polygon Area;Min Cut;geometry;graph matchings;Priority Queue
user11908,,0,Tree DFS;trees;geometry;graphs;dp
user11917,Floyd-Warshall;flows;shortest paths,3,flows;Max Flow;shortest paths;Floyd-Warshall;graphs
user11918,Bipartite Graph Check;Convex Hull;Distance Between Points;Line Intersection;Max Flow;Orientation Test;Polygon Area;Priority Queue;flows;geometry;graph matchings,11,Line Intersection;Polygon Area;Orientation Test;Distance Between Points;Convex Hull
user11947,binary search;brute force;data structures;dp;flows;trees,6,trees;data structures;flows;dp;brute force
user1198,Convex Hull;Dijkstra;Line Intersection;Orientation Test;Polygon Area;Priority Queue;flows;geometry,8,Line Intersection;Polygon Area;Orientation Test;Convex Hull;geometry
user11989,geometry,1,Distance Between Points;geometry;dsu;Connected Components;DFS
user12014,Orientation Test;flows;geometry,3,geometry;flows;Orientation Test;Max Flow;shortest paths
user12015,,0,hashing;dp;1D DP;data structures;strings
user12018,Binary Lifting;Brute Force Enumeration;Fenwick Tree;Hash Map;Priority Queue;Segment Tree;Sparse Table;binary search;data structures;dsu;flows;hashing;implementation;shortest paths;sortings;string suffix structures;strings;trees;two pointers,19,data structures;two pointers;Hash Map;Fenwick Tree;Sparse Table
user12032,binary search,1,binary search;trees;divide and conquer;two pointers;string suffix structures
user12047,,0,shortest paths;dsu;BFS;Graph Representation;graphs
user12062,Brute Force Enumeration;Hash Map;Prefix Sum;Priority Queue;Recursion;Simulation;Stack;State Simulation;String Matching;constructive algorithms;data structures;dsu;hashing;implementation;interactive;string suffix structures;strings;trees;two pointers,19,data structures;Hash Map;Ordered Set;Brute Force Enumeration;Simulation
